ZBTB20-AS5	LPAR6
ZBTB20-AS2	KLHDC9
ZBTB20-AS2	FGF14-AS1
LSAMP-AS1	AL512330.1
LSAMP-AS1	INSYN2A
LSAMP-AS1	CD27
LSAMP-AS1	CCDC65
LSAMP-AS1	GPX2
LSAMP-AS1	UBOX5-AS1
LSAMP-AS1	SRPX2
LINC00903	BAALC-AS1
LINC00903	C19orf25
LINC00903	NUCB1-AS1
LINC00903	MRTFA-AS1
TUSC7	C17orf78
TUSC7	LENG9
ARHGAP31-AS1	ZNF404
NDUFB4	COL6A3
GTF2E1	ZSCAN20
GTF2E1	ZNF322
GTF2E1	FANK1
GTF2E1	DCAF4
GTF2E1	MOSPD1
PARP14	STAT1
KLF15	FAM107A
MGLL	LPL
MGLL	EEF2K
MGLL	SAMHD1
RUVBL1	PCDHGB6
RUVBL1	ALG2
H1FX	KCNF1
COL6A6	ANXA10
COL6A6	MLANA
COL6A6	CCDC83
ACKR4	B4GALT4-AS1
ACKR4	BRD9
ACKR4	SPDYE3
ACKR4	KCNMA1-AS1
AMOTL2	ORC6
RBP2	AL139294.1
RBP2	NUF2
RBP2	PDC
RBP2	SPINK8
RBP2	TUSC7
RBP2	PKIA-AS1
RBP2	SBNO1-AS1
RBP2	INO80-AS1
RBP2	EDDM13
RBP2	RGL4
TFDP2	TCP11L2
TFDP2	PHACTR3
SLC9A9-AS1	BRCA2
ZIC1	QTRT2
TM4SF1	SERPINB8
WWTR1	LINC00877
WWTR1	RXYLT1
ANKUB1	TTC21B-AS1
ANKUB1	TBL1XR1-AS1
ANKUB1	FBXL13
ANKUB1	INSL6
ANKUB1	GCNT1
ANKUB1	MYCBP2-AS1
ANKUB1	PTRH2
ANKUB1	PRKCA-AS1
ANKUB1	LINC02097
ANKUB1	PET117
SIAH2-AS1	SLC9A3R2
P2RY14	ADAMTS16
P2RY14	CAHM
GPR87	CERS6-AS1
ARHGEF26-AS1	USB1
GPR149	FGF17
SSR3	TRIM32
RARRES1	FAM200A
RARRES1	SURF1
LINC01323	LINC01324
LINC01322	LRRN1
LINC01322	BASP1-AS1
LINC01322	B3GAT2
LINC01322	PHKG1
CLDN11	CD22
RPL22L1	TMEM251
NLGN1-AS1	SACS-AS1
NAALADL2-AS1	ABCC5-AS1
TBL1XR1-AS1	ERVW-1
KCNMB2-AS1	FMO3
KCNMB2-AS1	RBMS3-AS3
KCNMB2-AS1	GNRHR
KCNMB2-AS1	SEMA6A-AS1
KCNMB2-AS1	EPN2-AS1
KCNMB2-AS1	KIZ-AS1
ZMAT3	RRS1
ZMAT3	TMEM179
PEX5L-AS2	AC115837.2
FXR1	MAIP1
FXR1	CCNG2
FXR1	TICAM2
FXR1	MORN4
FXR1	CHORDC1
FXR1	SH2B3
FXR1	MYO5C
FXR1	GIPC1
PSMD2	C6orf47
FAM131A	CACNB1
POLR2H	FAM122A
MAGEF1	LINC00526
BCL6	LINC02774
BCL6	COL9A3
BCL6	RPGR
FGF12	AGAP2
FGF12-AS1	LINC00115
FGF12-AS1	GRM5-AS1
PLAAT1	RFTN2
PLAAT1	CA8
APOD	FZD9
APOD	MRPL52
LINC01983	PINK1
LINC01983	ACTR3C
SLC51A	PTAFR
SLC51A	PRC1
NCBP2	TMEM8A
NCBP2AS2	TIMM10B
RPL35A	POMP
CTBP1-AS	GCM2
CTBP1-AS	CRYBG1
CTBP1-AS	UBR5-AS1
CTBP1-AS	LINC02231
CTBP1-AS	ARHGAP11A
CTBP1-AS	MIR762HG
CTBP1-AS	FUT2
MSANTD1	PCDHGB1
BLOC1S4	TRIP6
LINC00504	ASGR1
AC006160.1	LINC01535
KCNIP4-IT1	ATP2C2
UCHL1	RUSC1
OCIAD2	IQCD
DANCR	SNHG3
DANCR	MTRF1L
DANCR	ETFRF1
LNX1-AS1	ASCL5
LNX1-AS1	CNTFR-AS1
LNX1-AS1	NECTIN1-AS1
LNX1-AS1	LOH12CR2
LNX1-AS1	GPRC5D-AS1
LNX1-AS1	FAM222A-AS1
LNX1-AS1	RHOF
LNX1-AS1	NEK5
LNX1-AS1	CBR3
PAICS	LMO7-AS1
EPHA5	EPHA5-AS1
GNRHR	SLC25A45
GNRHR	MARCH10
GNRHR	ZNF528-AS1
TMPRSS11D	TMPRSS11F
TMPRSS11D	TSBP1
TMPRSS11D	LINC02603
TMPRSS11D	ACOT6
CXCL13	FBXL16
ANTXR2	LRRCC1
ANTXR2	EEF1AKMT3
ANTXR2	FOXG1-AS1
CDS1	TLCD2
WDFY3-AS1	AC009227.1
WDFY3-AS1	NAALADL2-AS2
WDFY3-AS1	SNHG8
PYURF	ANAPC15
STPG2-AS1	HTR5A
H2AFZ	C1GALT1C1L
H2AFZ	TUSC2
H2AFZ	THAP11
UBE2D3-AS1	CYP2U1
UBE2D3-AS1	FAM122C
CXXC4	FLNB
CXXC4	LINC01322
CXXC4	HS3ST1
CXXC4	KIAA1755
ARHGEF38	CNGB3
ARHGEF38	C9orf92
ARHGEF38	LINC00987
ARHGEF38	ISCA2
CYP2U1	EFL1
RPL34	HYAL2
RPL34	RPL39
SEC24B-AS1	RSAD2
SEC24B-AS1	LINC00271
CAMK2D	SIPA1L2
CAMK2D	LYST
CAMK2D	SORBS1
CAMK2D	RAB3IP
TRAM1L1	MFSD9
TRAM1L1	PRDM8
TRAM1L1	ZFAND2A
TRAM1L1	AC051619.4
TRAM1L1	OGFOD3
TRAM1L1	MCAT
LINC01378	ACTN1
NDST3	STX1A
PRSS12	BYSL
PDE5A	SLC8A1-AS1
PDE5A	STRADB
PDE5A	LINC00960
PDE5A	SPINK5
PDE5A	MARCOL
PDE5A	SLC26A5
PDE5A	ZFPM2-AS1
PDE5A	GLIPR1L1
PDE5A	KLHL28
PDE5A	ZC2HC1C
PDE5A	USP3-AS1
PDE5A	SPSB3
PDE5A	MTCP1
NDUFC1	G0S2
NDUFC1	POLR2I
UCP1	CHSY3
C4orf51	TNFAIP8L1
RPS3A	RPS8
RPS3A	EIF1B
RPS3A	RPL14
RPS3A	DDN-AS1
RPS3A	PSMD7
RPS3A	NME2
RPS3A	TCEAL7
PRSS48	LYG2
PRSS48	SLC13A4
PRSS48	KCNMA1-AS1
PRSS48	NDUFAF8
MIR4453HG	LNCTAM34A
CTSO	PMF1
CTSO	DPH6
CTSO	HSF2BP
MSMO1	HMGCS1
MSMO1	HMGCR
MSMO1	ACAT2
MSMO1	CYP51A1
MSMO1	INSIG1
MSMO1	IDI1
SPOCK3	TMEFF2
SCRG1	NINJ1
SCRG1	THY1
SCRG1	IMP3
SCRG1	PCSK6
SCRG1	ALDOC
SCRG1	RND2
SCRG1	GAB3
LRP2BP	INTS6-AS1
SORBS2	ATP10B
BRD9	PLXDC2
ADAMTS16	CTNS
ADAMTS16	TCEAL5
MED10	TAF1D
MED10	ZSCAN18
SEMA5A-AS1	SCUBE3
SEMA5A-AS1	DEFB131B
SEMA5A-AS1	FAM186B
SEMA5A-AS1	ERVH48-1
RETREG1	TEAD4
CDH12	WNK2
CDH9	RASGRF2
CDH9	SH3GL2
PDZD2	SOX13
PDZD2	MIR4458HG
PDZD2	KCNQ3
PDZD2	PTCH1
PDZD2	SAMHD1
AC008957.1	LRRC19
LINC02117	SLC23A1
LINC02117	CYP3A4
LINC02117	DNAJB7
LIFR	NBPF11
LIFR	ZFPM2
LIFR	CFAP61
LIFR-AS1	LIG4
LIFR-AS1	ABHD13
OSMR-AS1	IL6R
OSMR-AS1	ARHGEF3
OSMR-AS1	OSMR
OSMR-AS1	PDE8B
OSMR-AS1	MARCH3
OSMR-AS1	ANKRD10
OSMR	SH3BP2
OSMR	HK1
HMGCS1	FDPS
HMGCS1	STARD4
HMGCS1	FDFT1
HMGCS1	SQLE
HCN1	GABRA4
HCN1	KCNB2
HCN1	RMST
PART1	CDH12
SMIM15	BTG3
ZSWIM6	SGK1
ZSWIM6	TNS3
ZSWIM6	CNTNAP1
DIMT1	SPDYA
DIMT1	ATP6V0E2-AS1
DIMT1	AC005884.1
SHLD3	AC024896.1
BTF3	SRSF7
BTF3	EID1
PDE8B	NCOA1
PDE8B	PLPP4
PDE8B	WDR11
PDE8B	PITPNC1
PDE8B	CHST7
LHFPL2	TMEM232
LHFPL2	GRIA1
LHFPL2	FAM242F
RASGRF2	STAT4
RPS23	EEF1A1
VCAN	BHMT2
VCAN	LRRN3
VCAN	RMI1
VCAN	PTPN5
VCAN	GDAP1L1
VCAN-AS1	OSTM1-AS1
VCAN-AS1	LINC00612
VCAN-AS1	FBXL22
VCAN-AS1	OGFOD1
VCAN-AS1	AQP4-AS1
VCAN-AS1	MAP2K7
VCAN-AS1	SYCP2
COX7C	NDUFB4
COX7C	RPL35A
COX7C	TMEM132A
COX7C	PET100
LINC02058	AKR1C3
GLRX	LYPLAL1-AS1
GLRX	PITRM1-AS1
GLRX	ZNF546
ELL2	SH3RF3
ELL2	GLIS3
NUDT12	ESR2
EFNA5	LINC01378
TRIM36	SLC26A4
