schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	within_case_rank	signature_direction	direction_label	direction_order	signature_group	group_label	group_order	column_order	eligible_query_count	usable_query_count	explicit_query_count	implicit_query_count	missing_query_count	coverage_fraction	conservative_support_count	support_fraction	stratum_acat_p	stratum_missing_as_one_acat_p	negative_log10_stratum_acat_p	capped_negative_log10_stratum_acat_p	cell_state
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_up_mito	AD-up mitochondrial query	1	M_e4	APOE ε4	6	6	10	10	4	6	0	1.0	0	0.0	0.11606552488375851	0.11606552488375851	0.9352967602455491	0.9352967602455491	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_down_mito	AD-down mitochondrial query	2	F_e2	APOE ε2	1	7	2	2	1	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_down_mito	AD-down mitochondrial query	2	F_e33	APOE ε3/ε3	2	8	2	2	0	2	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_down_mito	AD-down mitochondrial query	2	F_e4	APOE ε4	3	9	11	11	10	1	0	1.0	0	0.0	0.027037846807471396	0.027037846807471396	1.5680278969340764	1.5680278969340764	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_down_mito	AD-down mitochondrial query	2	M_e2	APOE ε2	4	10	13	13	12	1	0	1.0	5	0.38461538461538464	2.0206692677002415e-05	2.0206692677002415e-05	4.694504763657804	4.694504763657804	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_down_mito	AD-down mitochondrial query	2	M_e33	APOE ε3/ε3	5	11	5	5	2	3	0	1.0	0	0.0	0.14464770091425455	0.14464770091425455	0.8396884648033315	0.8396884648033315	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	20	AD_down_mito	AD-down mitochondrial query	2	M_e4	APOE ε4	6	12	7	7	2	5	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e2	APOE ε2	1	1	2	2	1	1	0	1.0	1	0.5	0.00010671685023844562	0.00010671685023844562	3.9717670014958304	3.9717670014958304	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e33	APOE ε3/ε3	2	2	2	2	0	2	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e4	APOE ε4	3	3	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e2	APOE ε2	4	4	6	6	2	4	0	1.0	0	0.0	0.8044219426884823	0.8044219426884823	0.09451609140877064	0.09451609140877064	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e33	APOE ε3/ε3	5	5	1	1	0	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e4	APOE ε4	6	6	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e2	APOE ε2	1	7	1	1	0	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e33	APOE ε3/ε3	2	8	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
