SCNN1D	GALE
NKAIN2	MOBP
NKAIN2	UNC5C
NKAIN2	ATP10B
NKAIN2	SLX4IP
NKAIN2	COL4A5
RNF217-AS1	ST3GAL5-AS1
RNF217-AS1	LINC01572
RNF217-AS1	KIF1C
RNF217	ADGRG1
TPD52L1	RAB7B
TPD52L1	ADGRV1
TPD52L1	RANBP17
TPD52L1	SDC2
TPD52L1	CAB39L
TPD52L1	TP53INP2
TPD52L1	ADSL
NCOA7-AS1	AL606489.1
NCOA7-AS1	CP
NCOA7-AS1	SLC26A5
SGK1	PTPRJ
ABRACL	SLC26A1
LINC01277	CACNA2D4
SF3B5	PUF60
SF3B5	POLR2L
SF3B5	NUBP2
SF3B5	UBE2M
SF3B5	RPL10
UTRN	CCND3
UTRN	MICAL1
SAMD5	TMEM108
SUMO4	ACAP2-IT1
SUMO4	ADNP-AS1
AKAP12	GUCY1B1
AKAP12	TMSB15B-AS1
FBXO5	SPAG1
FBXO5	ZNF418
CNKSR3	GATB
CLDN20	APOM
SYTL3	TGFB2
SYTL3	ARHGAP15
SYTL3	FAM107A
SYTL3	CLNK
SYTL3	LINC02742
SYTL3	LINC01440
CAHM	GALK1
CAHM	SPINT2
CAHM	ARMCX5
PRR18	LINC00844
PRR18	PLP1
RAMACL	CCDC169
KIF25-AS1	KIF25
C6orf120	PDCL3
C6orf120	ZNHIT2
C6orf120	LINC00653
C6orf120	PABPC5
C6orf120	SLC25A5-AS1
PRKAR1B	SNRPN
COX19	AK3
MAFK	SEC24D
PSMG3	GADD45A
NUDT1	PLAAT4
OCM	FAM157C
ZDHHC4	ATG2A
RPA3	TTC21B-AS1
RPA3	PSMG4
ICA1	COL12A1
ICA1	SLC18B1
ICA1	LIMK1
ICA1	PTP4A3
ICA1	WIF1
NXPH1	GABRA4
NDUFA4	NDUFC1
NDUFA4	ATP6V1F
NDUFA4	NDUFA11
NDUFA4	SHLD1
NDUFA4	BEX3
THSD7A	BTBD11
THSD7A	NEXMIF
DGKB	TMEM132B
DGKB	NOL4
CRPPA-AS1	AC009227.1
CRPPA-AS1	L3MBTL4-AS1
CRPPA-AS1	DNASE1L1
TSPAN13	ZDHHC23
TOMM7	EMC4
CCDC126	TARBP1
CCDC126	NHEJ1
FAM221A	STK31
NFE2L3	STPG2-AS1
NFE2L3	APOBEC2
NFE2L3	SPDYE2
NFE2L3	SPATA22
NFE2L3	ATAD5
WIPF3	KIAA2012
WIPF3	LY6E-DT
WIPF3	LINC01284
CRHR2	CTXN2
ADCYAP1R1	NXPH2
PDE1C	DYSF
EEPD1	PLXND1
AOAH	ZNF621
AOAH	CRYL1
AOAH	CATSPERG
ELMO1-AS1	AIMP2
ELMO1-AS1	NFE2L3
ELMO1-AS1	FAM200A
ELMO1-AS1	TRIM13
ELMO1-AS1	ATP6V1D
ELMO1-AS1	PDXDC1
ELMO1-AS1	OGFOD1
ELMO1-AS1	SYCP2
AMPH	OPRD1
AMPH	SLC38A11
AMPH	SYBU
POU6F2	FOXP2
POU6F2	GRM8
YAE1	CXXC4
YAE1	DPH6-DT
YAE1	LINS1
HECW1	KSR2
HECW1	LRRK1
HECW1	MRTFB
MRPS24	AP1S1
MRPS24	TMEM70
UBE2D4	DUSP1
SPDYE1	CAMK1
SPDYE1	CLDN20
SPDYE1	LINC02259
SPDYE1	GCNT7
CAMK2B	EIF4E1B
CAMK2B	NANOS3
NPC1L1	ANKRD2
TMED4	FAM174A
TMED4	PNPLA2
TMED4	FEN1
PPIA	PCIF1
PPIA	PRPS1
LINC01952	DNAJC9-AS1
LINC01952	AC007613.1
SNHG15	IGFL2-AS1
ADCY1	CERKL
IGFBP3	LINC02668
VWC2	RAB3C
IKZF1	APBB1IP
FIGNL1	DAPL1
VSTM2A	KCNA2
VSTM2A	ESYT3
VSTM2A	SLC29A4
VSTM2A	CCDC34
VSTM2A	GALNT16
VSTM2A	GABRA5
SEC61G	COX17
PSPH	PLGLB2
CHCHD2	MRPL46
CHCHD2	COX7B
SBDS	BHLHE41
SPDYE21P	LINC00115
SPDYE21P	DDX4
GALNT17	DLGAP3
GALNT17	OLFM2
FKBP6	TOLLIP-AS1
DNAJC30	C6orf52
DNAJC30	DNMT3B
ELN	SLIT2
ELN	DIAPH2-AS1
GTF2IRD1	STN1
SPDYE5	ABI3BP
SPDYE5	MDC1-AS1
SPDYE5	APOA1-AS
SPDYE5	HAUS4
HSPB1	HSP90AA1
HSPB1	DNAJA4
TMEM60	ZNF511
MAGI2-AS1	PRH2
SEMA3E	PRLR
GRM3	ZNF362
GRM3	RBM45
GRM3	RNF217
GRM3	BAIAP2L1
GRM3	POMT1
GRM3	DTD2
GRM3	CHRNE
GRM3	ABCA8
GRM3	FBXO15
GRM3	ZNF780B
GRM3	C19orf81
GRM3	SHANK1
GRM3	TAB3
GRM3	ARMCX1
ZNF804B	RBMS1
ZNF804B	TMEM178B
STEAP2-AS1	TMEM179
CLDN12	FBXO7
CYP51A1	TKT
ERVW-1	MLANA
RBM48	LINC01033
RBM48	SOWAHA
RBM48	FEM1B
BET1	TBCE
BET1	MSH5
BET1	UCP3
BET1	CCDC81
SEM1	BCAR3
SEM1	EPCAM-DT
SEM1	LYPD1
SEM1	GAL3ST2
SEM1	YAE1
SEM1	CA3-AS1
SEM1	C11orf74
SEM1	NXPE2
SEM1	REP15
SEM1	DEPDC4
SEM1	BANP
SEM1	ZADH2
SEM1	GIPC1
SEM1	ARHGAP6
ASNS	SLC1A4
BAIAP2L1	KCNMB2-AS1
BAIAP2L1	LINC00476
NPTX2	NGFR
TMEM130	CAMK2N2
TMEM130	OPRM1
TMEM130	PRRT2
BUD31	GLRX5
BUD31	PJA1
ATP5MF	THYN1
ATP5MF	NPB
ATP5MF	FXYD1
FAM200A	TRAPPC2B
TMEM225B	APCDD1L-DT
CYP3A5	DIO1
CYP3A5	LINC02777
CYP3A5	NR5A2
CYP3A5	ACBD3-AS1
CYP3A5	HYAL2
CYP3A5	SPINK13
CYP3A5	CNGB3
CYP3A5	AL157392.2
CYP3A5	SPART-AS1
CYP3A7	CD80
CYP3A7	ALDOB
CYP3A7	SYNPO2L
CYP3A7	DCUN1D2-AS
COPS6	PIH1D1
STAG3	ST3GAL5
STAG3	NAALADL2-AS3
STAG3	USP3-AS1
SPDYE3	RASGRP1
PPP1R35	C16orf86
TSC22D4	PPIF
TSC22D4	SNAI3-AS1
NYAP1	VILL
NYAP1	PKMYT1
LRCH4	MTA1
MOSPD3	SDF2L1
ACTL6B	PODXL2
ACTL6B	DDX41
ACTL6B	STX1A
ACHE	MAZ
TRIM56	SLC6A6
TRIM56	LINC01618
TRIM56	LINC00963
TRIM56	EFNB2
TRIM56	KANK2
TRIM56	FAM182A
VGF	NEUROD6
PLOD3	BOK
PLOD3	PPID
PLOD3	AK8
ZNHIT1	TRAPPC1
ZNHIT1	PRDX4
FIS1	C1orf122
FIS1	C1orf56
FIS1	C1orf61
FIS1	MRPL43
FIS1	ATP5MC2
FIS1	ABHD17A
FIS1	PPP1R14A
IFT22	HMGN3-AS1
IFT22	CDNF
SH2B2	EXOC8
SH2B2	DNAJC28
LRWD1	ARPC5L
POLR2J	HIST3H2A
POLR2J	NOP10
POLR2J	LIN7B
DNAJC2	LRP4-AS1
SLC26A5	ANXA9
SLC26A5	A2ML1-AS1
RELN	DCTN1-AS1
GPR22	IGSF3
GPR22	QPCT
GPR22	KY
GPR22	LINC02082
GPR22	SPRY1
GPR22	FAXC
SLC26A3	HCRTR2
SLC26A3	MMP26
LAMB1	DPP10-AS3
LAMB1	RFTN1
NRCAM	STXBP5L
NRCAM	SORBS2
NRCAM	AKAP12
NRCAM	DCLK1
NRCAM	CNKSR2
DOCK4-AS1	LINC01362
DOCK4-AS1	C6orf201
DOCK4-AS1	PLN
DOCK4-AS1	TEK
LSMEM1	KCNH1
FOXP2	TLL1
CAV1	AC002066.1
CAV1	CAV2
ST7-AS2	AL512330.1
ST7-AS2	CADM2-AS1
ST7-AS2	WASF3-AS1
ST7-AS2	PCCA-AS1
CFTR	CTDSP1
CFTR	LINC00870
CFTR	COQ4
CFTR	PDS5B
CFTR	DLEU7
CFTR	LINC00641
CFTR	LINC02250
CFTR	CXorf56
CADPS2	LINC01821
ARF5	TRIM52-AS1
SND1-IT1	PCDHGA7
SND1-IT1	RBFA
PRRT4	LRRTM1
IMPDH1	MDK
ATP6V1F	PFDN5
CEP41	ACKR2
CEP41	CDH11
PLXNA4	NPAS2
PLXNA4	RBFOX3
FMC1	SPATS2
PARP12	HLA-E
PARP12	LAMC3
DENND2A	MAML3
TMEM178B	DCLK2
WEE2-AS1	LINC00393
WEE2-AS1	WTIP
EPHB6	NCDN
EPHB6	ELFN2
KEL	TRPV5
KEL	GIT1
PIP	IGSF6
GSTK1	C1QTNF7
GSTK1	OLFML1
GSTK1	SFTA3
ZYX	SLC26A8
ZYX	DHRS11
PRKAG2	FLRT2
INSIG1	FADS2
LINC01006	BIN3
DNAJB6	GIPC2
DNAJB6	MXRA7
PTPRN2	HECW1
PTPRN2	TUSC3
PTPRN2	NIPAL2
VIPR2	PLAAT1
VIPR2	SLC27A2
DLGAP2	PTPRN2
DLGAP2	GABRB3
DLGAP2	ZNF831
DLGAP2	MIAT
CSMD1	KCTD16
CSMD1	NRG3
ANGPT2	MIR762HG
LINC00599	FNDC4
PRSS51	IQCJ-SCHIP1-AS1
FAM167A	FAM167A-AS1
SGCZ	LUZP2
TUSC3	PDP1
ZDHHC2	CEP128
CSGALNACT1	LINC00299
CSGALNACT1	SLC1A2
NPM2	LRFN1
FGF17	TPM2
DMTN	EFHD2
DMTN	TSPYL1
DMTN	EPHB6
DMTN	PHYHIP
DMTN	SCN2B
DMTN	TMEM25
DMTN	SNAP25
DMTN	SULT4A1
PHYHIP	CPLX2
PHYHIP	CKMT1B
PHYHIP	TBKBP1
PHYHIP	SEMA6B
RHOBTB2	LINC00622
RHOBTB2	ANKRD34A
RHOBTB2	LIN28B-AS1
RHOBTB2	PEBP4
RHOBTB2	INPP5J
NEFL	CHRNB2
NEFL	SPARCL1
NEFL	NEFM
NEFL	TCEAL6
GNRH1	TIGD4
BNIP3L	YARS
BNIP3L	MAPK1IP1L
PNMA2	LRRC73
PNMA2	TAC1
PNMA2	GNG3
PNMA2	FXYD6
PNMA2	NRGN
PNMA2	RAB3A
PNMA2	YWHAH
PNMA2	L1CAM
STMN4	TRIM35
RBPMS	CHRNG
UBXN8	LRRC39
UBXN8	OXSM
NRG1	LRRTM4
NRG1	KALRN
UNC5D	NYAP2
UNC5D	CNTN4
UNC5D	PRR16
UNC5D	KIAA1217
UNC5D	GPC6
UNC5D	GABRG3
UNC5D	DLGAP1
BRF2	DOLK
BRF2	ZNF319
LETM2	TEX46
LETM2	SP140
LETM2	SMN2
LETM2	SPATA24
LETM2	RTN4IP1
LETM2	ZNF707
LETM2	LINC01080
C8orf86	OCM
ADAM9	GCLM
ADAM32	AP5S1
ZMAT4	GLIS1
ZMAT4	C1orf21
ZMAT4	GALNT18
ZMAT4	NETO2
ANK1	MYO16
ANK1	NR2F2-AS1
MCM4	TIE1
SNTG1	KCNJ3
SNTG1	KCNH7
SNTG1	RBMS3
SNTG1	BMPER
SNTG1	ZMAT4
SNTG1	RALYL
SNTG1	PRKG1
SNTG1	KCNC2
SNTG1	TRPC4
OPRK1	RASSF7
RGS20	GDNF
MRPL15	TMEM234
XKR4	GRIK3
XKR4	LINC02232
XKR4	C8orf34
CA8	MMP28
CA8	EMID1
YTHDF3-AS1	AATBC
LINC01414	PLA2R1
LINC01414	GPM6A
LINC01414	CASC15
LINC01414	TRPM3
LINC01414	GLT1D1
MIR124-2HG	SEMA5B
MIR124-2HG	DPYS
MIR124-2HG	TESPA1
MIR124-2HG	RAB26
LINC00251	ZNF385C
RRS1	CCNB1
RRS1	NYAP1
RRS1	FFAR4
RRS1	PLA2G10
SNHG6	GRHPR
C8orf34	TRMT9B
LACTB2-AS1	LINC01023
KCNB2	NWD2
TMEM70	NPRL2
GDAP1	SPATA16
GDAP1	MIR2052HG
GDAP1	ZNF433-AS1
CRISPLD1	TRAIP
PKIA	ZFP28
IL7	PRMT9
IL7	XRCC3
STMN2	LRTM2
FABP5	BAMBI
RALYL	MIR137HG
RALYL	LINC01250
RALYL	RIT2
RALYL	RAB27B
RBIS	MAP3K2-DT
CA3-AS1	CA2
CA3-AS1	LINC02656
CA3-AS1	SGK2
MMP16	ZNF385B
MMP16	MAP2
DECR1	FAIM
DECR1	FAM149B1
DECR1	ARRDC4
DECR1	PABPC5
CALB1	HTR5A
CALB1	SSTR1
CALB1	CBLN4
LINC00534	C2orf88
LINC00534	HFE
LINC00534	TAS2R39
LINC00534	BAIAP2L2
C8orf88	LEAP2
C8orf88	LINC02373
LINC00535	PLXNC1
ESRP1	TMEM252-DT
ESRP1	TEX11
CPQ	TCEANC2
CPQ	PRKCE
CPQ	EHBP1
CPQ	BBS9
CPQ	NFIB
RPL30	RPS27A
RPL30	SBDS
RPL30	SNRPB2
NIPAL2	TRANK1
NIPAL2	DENND3
POLR2K	MAD2L1BP
SNX31	GSTCD
SNX31	TRIM65
AP003469.4	THORLNC
AP003469.4	NUFIP2
NCALD	BSN
AZIN1-AS1	ATG10
AZIN1-AS1	TMEM72-AS1
AZIN1-AS1	VWF
FZD6	MTRF1
CTHRC1	FZD6
CTHRC1	DNAH3
SLC25A32	POLRMT
RIMS2	OLFM3
RIMS2	BRINP3
RIMS2	KCNT2
RIMS2	CDH18
RIMS2	GRIK2
RIMS2	SAMD5
DPYS	SLC29A2
SYBU	GUCY1A1
SYBU	GABRA3
KCNV1	LINC02755
LINC01608	NCS1
LINC01608	ZBTB44-DT
LINC01609	GNG12-AS1
LINC01609	NGF
CSMD3	MDGA2
UTP23	SPACA9
UTP23	PLLP
DEPTOR	SCN1B
LINC01151	SMILR
FBXO32	HELLS
FBXO32	ADAMTS8
NDUFB9	GORASP1
NDUFB9	NDUFS3
NDUFB9	GCSH
ZNF572	LINC02606
ZNF572	TMCO1-AS1
ZNF572	KRTCAP3
ZNF572	TTC30B
ZNF572	TPRG1-AS1
ZNF572	TFAP2A-AS2
ZNF572	B3GALT4
ZNF572	LAMA4
ZNF572	DNAJC30
ZNF572	IFT22
ZNF572	WEE2-AS1
ZNF572	RNF32
ZNF572	RAD54B
ZNF572	CDC37L1-DT
ZNF572	CCNJ
ZNF572	CCDC84-DT
ZNF572	LOH12CR2
ZNF572	FGF14-AS2
ZNF572	TRMT5
ZNF572	REC114
ZNF572	ZNF396
ZNF572	ZNF491
ZNF572	ZNF30-AS1
ZNF572	NPHS1
ZNF572	MCM8-AS1
ZNF572	SNHG11
ZNF572	ZNF295-AS1
ZNF572	IFT27
ZNF572	RAB40A
ZNF572	FMR1-IT1
WASHC5-AS1	GJA9
WASHC5-AS1	TRIM61
WASHC5-AS1	MAGI2-AS1
WASHC5-AS1	FAM221B
ADCY8	HS3ST1
LRRC6	CFAP299
ZFAT	BCL2L11
PEG13	P2RX5
CHRAC1	ERFL
ADGRB1	CYB561
LY6E-DT	BBOX1-AS1
LY6E	EGFL7
LY6E	CNIH2
LY6E	TUBB3
LY6E	NLRP1
LY6E	DUSP14
LY6H	IGFBP6
LY6H	STMN3
MINCR	STAM-AS1
PYCR3	HSD17B8
ZNF707	EXO5
ZNF707	KRBOX1
ZNF707	COPS4
PUF60	SNX17
PUF60	SPAG7
NRBP2	PKN2-AS1
NRBP2	PCBP4
NRBP2	PTPRG-AS1
NRBP2	FKBP14
NRBP2	CLDN12
NRBP2	TRPV6
NRBP2	POLE
NRBP2	CCNB2
GRINA	SEZ6
EXOSC4	FGFBP3
EXOSC4	SLC25A15
EXOSC4	RNF113A
CYC1	MRPL55
CYC1	SMPD1
CYC1	SPSB3
CYC1	MIF4GD
MAF1	CDKN1C
MROH1	RARA
SLC52A2	PIGO
VPS28	C19orf48
KIFC2	BOP1
KIFC2	AP1G2
PPP1R16A	GPR108
MFSD3	HPS6
RECQL4	CAPN10-DT
ZNF34	FAM24B
ZNF34	CLP1
RPL8	LSM3
RPL8	EEF1A1
RPL8	SERF2
RPL8	UBA52
ZNF517	ZDHHC4
ZNF252P-AS1	MORN2
ZNF252P-AS1	LINC01159
ZNF252P-AS1	HDAC11-AS1
ZNF252P-AS1	CEP83-DT
ZNF252P-AS1	AC004812.2
ZNF252P-AS1	AC073534.2
ZNF252P-AS1	MIS18A-AS1
DOCK8	CSF1R
RFX3-AS1	SPR
RFX3-AS1	SLC4A5
RFX3-AS1	HS6ST1
RFX3-AS1	PBLD
RFX3-AS1	C19orf18
SLC1A1	BLVRA
SLC1A1	MRPL15
SLC1A1	TTC25
SLC1A1	CLIC2
CDC37L1-DT	PEX11B
CDC37L1-DT	TKFC
AK3	RBP7
AK3	RNF6
PDCD1LG2	SLC46A2
PTPRD-AS1	KCTD4
LURAP1L-AS1	TYRP1
LURAP1L	LURAP1L-AS1
MPDZ	ESPNL
TTC39B	SLC12A8
TTC39B	KLF12
SH3GL2	PLA2G4A
SH3GL2	KIAA1211L
SH3GL2	DPP4
SH3GL2	GABRA2
SH3GL2	EMB
SH3GL2	ADRB1
SH3GL2	KCNH5
RRAGA	MAP3K1
RRAGA	DHRS7
RRAGA	NME3
RRAGA	MRPS34
RPS6	MARCKSL1
RPS6	SMIM15
RPS6	RPL23A
SLC24A2	DOCK10
SLC24A2	MOB3B
SLC24A2	ALDH1L2
SLC24A2	SDR39U1
SLC24A2	ANKRD9
CDKN2A	CDKN2B-AS1
ELAVL2	TMEM196
ELAVL2	TCERG1L
ELAVL2	MAP3K9
IZUMO3	RBPMS2
IZUMO3	LPAR4
LRRC19	LINC02345
LRRC19	INO80-AS1
LRRC19	C16orf71
TEK	SPATC1
TEK	COCH
TEK	SMIM22
LINGO2	PPARGC1A
LINGO2	LINC02263
LINGO2	MDFIC
LINGO2	GRM5
DNAJA1	CCT3
DNAJA1	FKBP4
DNAJA1	DEDD2
RPP25L	LIX1L-AS1
RPP25L	PTRH1
DCTN3	SYF2
DCTN3	SLC35E3
GALT	LINC02774
GALT	FAM218A
GALT	PTPRD-AS1
GALT	ZNF598
GALT	FLYWCH2
GALT	ERAL1
GALT	MRPL12
GALT	FUNDC1
PIGO	COL6A3
PIGO	TMEM126A
PIGO	RND2
PIGO	GSTT2B
FAM214B	DNAJC28
FAM214B	TRPC5
TESK1	CXXC1
HINT2	TMEM18
HINT2	HSD17B8
HINT2	CHAMP1
GLIPR2	MCM2
GLIPR2	BPHL
GLIPR2	WDR31
TOMM5	HSPB2
TOMM5	ANAPC11
ANKRD18A	ANKRD18B
ANKRD18A	CYP4F26P
CNTNAP3	TMIGD3
CNTNAP3	CNTNAP3C
ZNF658	TIMM44
TMEM252-DT	ABCA12
TMEM252-DT	GPR160
TMEM252-DT	TOX2
MAMDC2	NRG4
KLF9	PDK1
GDA	FNBP1L
GDA	DNAH14
LINC01504	MSX1
CARNMT1-AS1	HILPDA
PCSK5	DNPEP
PCSK5	SYNE2
PRUNE2	SLC9A9
PCA3	TBL1XR1-AS1
PCA3	GCNT1
PCA3	NAV2-AS3
PCA3	DRC3
VPS13A	MOB1B
TLE4	ZNF32-AS3
IDNK	ZNF497
C9orf64	EAF1-AS1
C9orf64	KCTD11
C9orf64	AC025048.4
C9orf64	YY2
RMI1	ZKSCAN7
NTRK2	ST7
C9orf153	SNRNP48
C9orf153	COX19
C9orf153	NDUFAF6
C9orf153	UTP23
C9orf153	DNA2
C9orf153	ZNF614
C9orf153	MORC2-AS1
DAPK1	SCN3A
DAPK1	OSBPL10
DAPK1	WSCD2
CTSL	SIGMAR1
OGN	OMD
OGN	ASPN
OGN	DEFB131B
OGN	LIPE-AS1
WNK2	LRATD1
WNK2	SYNGAP1
WNK2	WIPF3
WNK2	GDA
WNK2	TRIM14
WNK2	CDYL2
FANCC	SEMA3B
FANCC	TSPAN14
FANCC	RGS11
FANCC	GIPR
LINC00476	CIAO3
HSD17B3-AS1	DCDC2B
PTCSC2	MCAM
PTCSC2	E2F1
GABBR2	ETNK2
GABBR2	PTPRG
GABBR2	CACNA1A
ALG2	RBM14
TMEFF1	CELSR3
TMEFF1	CAVIN4
MRPL50	ZNF330
MRPL50	DDX28
ZNF189	PSD3
ZNF189	FOXO4
GRIN3A	UBASH3B
GRIN3A	BCL11B
SMC2-AS1	LINC00391
PALM2-AKAP2	DISC1
PALM2-AKAP2	CPB2-AS1
TXN	TAC4
SVEP1	LINC01554
MUSK	RBP2
MUSK	NMNAT3
MUSK	PIGB
MUSK	MPV17L
MUSK	CLUL1
LPAR1	ING1
SHOC1	NUP210L
SHOC1	XXYLT1-AS2
C9orf43	SMIM8
C9orf43	LINC01569
C9orf43	PTOV1-AS1
COL27A1	TTYH3
COL27A1	P3H4
PAPPA	SMC4
ASTN2-AS1	LINC01649
ASTN2-AS1	CCNC
ASTN2-AS1	RELN
ASTN2-AS1	ASMTL
TRAF1	SMIM20
TRAF1	POLM
GSN-AS1	NEDD9
LHX6	SERTM1
LHX6	SHISAL1
RPL35	RPL36
HSPA5	PDIA6
HSPA5	MANF
HSPA5	BVES-AS1
HSPA5	PDIA4
HSPA5	HYOU1
HSPA5	PDIA3
HSPA5	HERPUD1
HSPA5	XBP1
PBX3	FHIT
PBX3	ZNF564
RPL12	PSMC4
RPL12	SERTAD3
ST6GALNAC4	SPATA17
ST6GALNAC4	ABCG4
ST6GALNAC4	CHST9
ST6GALNAC4	FUT6
NAIF1	PPP1R3D
PTGES2	COQ10A
C9orf16	ITM2C
C9orf16	MYL6B
C9orf16	ISCU
C9orf16	TMEM160
C9orf16	BEX1
DNM1	HRH2
DNM1	SYT7
DNM1	AGAP2
DNM1	ETS2
ZDHHC12	IGFLR1
ENDOG	NDN
ENDOG	TRAPPC2L
SPOUT1	CYB561D1
SPOUT1	DDHD2
PHYHD1	LRRC8A
CFAP77	AOX1
CEL	NUDT17
RPL7A	RPS14
RPL7A	RPL36AL
RPL7A	MRPL54
RPL7A	RPL3
SURF1	SMDT1
RXRA	FASN
OLFM1	ATP6V1G2
OLFM1	RBP4
OLFM1	NRGN
OLFM1	SYNGR3
OLFM1	PNMA8A
OLFM1	SLC17A7
SOHLH1	TMEM249
KCNT1	FGF17
NACC2	TRIM45
TMEM250	DGKQ
TMEM250	TIRAP
TMEM250	TELO2
TMEM250	GEMIN7
TMEM141	MKRN2OS
TMEM141	TMPO-AS1
AJM1	LMNB2
PHPT1	COPE
EDF1	SDF4
EDF1	AP2S1
EDF1	ARMCX6
PTGDS	MPC2
PTGDS	TMEM37
PTGDS	TRMT10A
PTGDS	SFTPC
PTGDS	TMEM141
PAXX	BAD
PAXX	CENPX
PAXX	UXT
MAN1B1-DT	CT66
MAN1B1-DT	ZNF517
MAN1B1-DT	SGMS1-AS1
MAN1B1-DT	AQP6
MAN1B1-DT	LINC01424
DPP7	MRPL4
GRIN1	ANXA6
GRIN1	RHPN1
GRIN1	CASKIN1
GRIN1	RAPGEFL1
GRIN1	ITGA3
GRIN1	HDAC10
GRIN1	MAPK11
SSNA1	PTRHD1
TUBB4B	HIBADH
TUBB4B	ISCU
TUBB4B	SUMO3
TUBB4B	DYNLT3
EXD3	BAG3
EXD3	LINC02641
EXD3	ZNF582-AS1
PNPLA7	MEX3D
CACNA1B	IQCA1
CACNA1B	CHST15
CACNA1B	PDE3B
CACNA1B	PITPNM2
CACNA1B	ASIC2
CACNA1B	KCNB1
PRR26	SLC22A4
IDI1	CYP51A1
PITRM1-AS1	ANGPTL4
KLF6	ZNF367
AKR1E2	PTPRB
LINC02656	LINC02649
SFMBT2	SOX13
SFMBT2	CCDC125
SFMBT2	ZFPM2-AS1
SFMBT2	CORO2B
CELF2	DDAH1
CELF2	NRXN1
CELF2	SLIT3
CELF2	NRG1
CELF2	LINGO2
CELF2	ABLIM1
CELF2	TMEM132D
CELF2	CA10
CELF2	SPTBN4
CAMK1D	ANKRD33B
CAMK1D	LRFN2
CAMK1D	PRKAG2
CAMK1D	MROH1
CAMK1D	SLC7A8
CAMK1D	CABLES1
CAMK1D	TTC39C
CCDC3	PGBD5
CCDC3	OPA3
AL157392.2	MIR210HG
CDNF	TMEM225B
CDNF	ERBB2
CACNB2	ARMC9
CACNB2	SHROOM3
CACNB2	PRMT8
CACNB2	CUX2
CACNB2	TPST2
COMMD3	SELENOS
COMMD3	C16orf91
BMI1	TIMM21
KIAA1217	ADAMTS9-AS2
KIAA1217	PLCXD3
KIAA1217	PAM
KIAA1217	KCNIP1
KIAA1217	NXPH1
KIAA1217	C8orf34
KIAA1217	ADCY8
KIAA1217	PTPRO
KIAA1217	GRIK1
PRTFDC1	SPATA6
PRTFDC1	DLC1
ENKUR	PTK6
GPR158	PAK5
GAD2	GAD1
GAD2	DLX6-AS1
MPP7	ANTXR2
SVIL	CYP3A4
JCAD	CCDC173
ARHGAP12	FGF2
ARHGAP12	LDLRAD3
RASGEF1A	KCNK9
RASGEF1A	P3H3
C10orf142	DDTL
TMEM72-AS1	LINC00845
ZFAND4	ATP13A4
ZFAND4	NNT-AS1
TMEM273	SGSM1
OGDHL	CYP4X1
OGDHL	FKBP1B
OGDHL	TBR1
OGDHL	PAQR9
OGDHL	C3orf80
OGDHL	SLC29A1
OGDHL	VSTM2A
OGDHL	CLEC2L
OGDHL	PITPNM1
OGDHL	KCNA1
OGDHL	KIF5A
OGDHL	FGF9
OGDHL	TUNAR
OGDHL	CA7
OGDHL	CYGB
OGDHL	KCNS1
OGDHL	SLC12A5
OGDHL	KCNJ4
OGDHL	NUDT10
SGMS1-AS1	CIP2A
SGMS1-AS1	MCAT
SGMS1-AS1	PFKFB1
PRKG1	CA8
PRKG1	DACH2
LINC00844	RBM26-AS1
FAM13C	LINC00877
FAM13C	ZKSCAN1
FAM13C	DPH6
FAM13C	LINC01630
ZNF365	SILC1
ZNF365	ANAPC16
ZNF365	PRIM1
ZNF365	ABHD13
ZNF365	PAPOLA
ZNF365	RUNX1
CTNNA3	LINC01135
CTNNA3	VRK2
CTNNA3	LANCL1
CTNNA3	IFT80
CTNNA3	TMEM144
CTNNA3	PPP2R2B-IT1
CTNNA3	HDAC2-AS2
CTNNA3	PRTFDC1
CTNNA3	IL1RAPL1
LRRTM3	AGBL3
HK1	NR4A1
HK1	TMEM35A
FAM241B	TMEM74B
LINC02636	PALD1
PPA1	STPG4
PALD1	RCSD1
PALD1	DOCK8
PCBD1	GON7
CHST3	IP6K3
CHST3	KLF9
CHST3	SAMHD1
SPOCK2	HSPB8
ANAPC16	ERRFI1
ANAPC16	SNCA
ANAPC16	CCDC126
ANAPC16	LINC-PINT
ANAPC16	SFMBT2
ANAPC16	DEAF1
ANAPC16	CNPY2
ANAPC16	IRS2
DDIT4	RGCC
NUDT13	SPDYE6
CFAP70	PLS3-AS1
PPP3CB-AS1	NOCT
PPP3CB-AS1	PKD2L2
PPP3CB-AS1	POLR1C
PPP3CB-AS1	NCOA7-AS1
PPP3CB-AS1	ACSL5
VDAC2	TAF1B
RPS24	RPS12
RPS24	RPL23
RPS24	RPS21
SFTPD	MAEL
TMEM254-AS1	NUDT6
TMEM254	LINC00672
TMEM254	ZNF236-DT
NRG3	ST6GALNAC5
NRG3	CSGALNACT1
NRG3	SORCS1
LDB3	KEL
SNCG	NSG1
RNLS	DYNC2H1
STAMBPL1	COL21A1
STAMBPL1	BCL11B
IFIT3	TTN
IFIT3	CNPPD1
IFIT3	NECTIN1-AS1
HTR7	ANKRD20A3
CPEB3	WIPI1
CPEB3	CDC34
PDE6C	RBM5-AS1
PDE6C	CP
PDE6C	ARPC1B
PDE6C	MDP1
PDE6C	MMP24
LGI1	SATB1-AS1
ACSM6	LINC02334
CC2D2B	KCNAB1-AS2
CC2D2B	SPAG8
CCNJ	TRAM1L1
