schema_version	broad_network	key_driver	mean_of_log_score	mean_of_log_score_standardized	ranking_runs	eligible_directional_runs	ranking_coverage_fraction	primary_directional_significant_runs	primary_directional_recurrence_fraction	mtDNA_encoded	in_degree	out_degree	total_degree	degree_percentile	node_size_area
phase12_kda_network_figures_v1	Excitatory_neurons	MICU3	0.0451771701207607	0.00860801152754792	133	133	1.0	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	NUDT3	0.0451685854993185	0.0086063758226081	133	133	1.0	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	ARHGAP35	0.0451601022819194	0.00860475943909034	133	133	1.0	0	0.0	FALSE	2	3	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	ZNF324	0.0450312018428232	0.00858019888200631	116	133	0.87218045112782	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	ZCCHC14	0.0449165334740636	0.00855835008896571	133	133	1.0	0	0.0	FALSE	2	5	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	YIF1B	0.0448938148218986	0.00855402130034962	114	133	0.857142857142857	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	DYRK1B	0.0445140378612511	0.00848165898888981	114	133	0.857142857142857	0	0.0	FALSE	2	2	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	RPL7L1	0.0443383152427324	0.00844817698189787	133	133	1.0	0	0.0	FALSE	2	4	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	SEC24A	0.0442475784784463	0.00843088809215865	122	133	0.917293233082707	0	0.0	FALSE	2	3	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	ZNF7	0.044146977643503	0.00841171971254219	114	133	0.857142857142857	0	0.0	FALSE	1	4	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	PAF1	0.0440609213430304	0.00839532263356388	86	133	0.646616541353383	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	DNAJB2	0.0440435793906945	0.00839201831580297	133	133	1.0	0	0.0	FALSE	2	5	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	FASTKD2	0.0439772548380684	0.00837938090376412	122	133	0.917293233082707	0	0.0	FALSE	2	2	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	JMJD6	0.0438493302282009	0.00835500628017763	116	133	0.87218045112782	0	0.0	FALSE	1	10	11	0.9864955464036012	324.0
phase12_kda_network_figures_v1	Excitatory_neurons	AHCYL2	0.0438181941141862	0.00834907363703852	133	133	1.0	0	0.0	FALSE	1	6	7	0.9521118666794368	196.0
