summary_group	analysis_profile	pathway_collection	collection_order	collection_role	pathway_id	pathway_name	hierarchy	hierarchy_depth	level_1	level_2	pathway_scope	schema_version	summary_group_type	broad_cell_type	sex	apoe_group	analysis_method	deg_tier	query_mode	structural_contrasts	available_contrasts	testable_records	positive_records	negative_records	locally_significant_records	globally_significant_records	median_effect	minimum_effect	maximum_effect	significant_secondary_groups	signal_confined_to_one_secondary_group	gene_union	gene_union_count	recurrent_genes	recurrent_gene_count
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Small molecule transport	Small molecule transport	Small molecule transport	1	Small molecule transport	NA	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.41409825047048	-1.48455247182365	-1.30794194621502	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Sulfur metabolism	Sulfur metabolism	Metabolism > Sulfur metabolism	2	Metabolism	Sulfur metabolism	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	2	2	0	0	0.00316469596092689	-1.08698280705226	1.45810897197021	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Trafficking	Trafficking	Mitochondrial dynamics and surveillance > Trafficking	2	Mitochondrial dynamics and surveillance	Trafficking	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-0.882950891772863	-1.13500630879054	1.60804920309972	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Translation	Translation	Mitochondrial central dogma > Translation	2	Mitochondrial central dogma	Translation	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.20230033647867	-1.3202131583897	1.16815806814468	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Vitamin metabolism	Vitamin metabolism	Metabolism > Vitamin metabolism	2	Metabolism	Vitamin metabolism	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-0.976755786207948	-1.16846401560846	0.873581956222483	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	cAMP-PKA signaling	cAMP-PKA signaling	Signaling > cAMP-PKA signaling	2	Signaling	cAMP-PKA signaling	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.131646089435	-1.24572240276082	-0.809413956297936	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	mtDNA maintenance	mtDNA maintenance	Mitochondrial central dogma > mtDNA maintenance	2	Mitochondrial central dogma	mtDNA maintenance	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.1628516162362	-1.72483313495727	1.09577534017568	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	mtRNA metabolism	mtRNA metabolism	Mitochondrial central dogma > mtRNA metabolism	2	Mitochondrial central dogma	mtRNA metabolism	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.36491956950152	-1.48637812015829	-0.87536021051436	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_complete_149	3	supplemental_complete	ABC transporters	ABC transporters	Small molecule transport > ABC transporters	2	Small molecule transport	ABC transporters	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-0.942202974716315	-1.41144681402167	0.96081802340328	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_complete_149	3	supplemental_complete	Amidoxime reducing complex	Amidoxime reducing complex	Metabolism > Detoxification > Amidoxime reducing complex	3	Metabolism	Detoxification	detailed_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	0	0	0	0	0	NA	NA	NA	0	FALSE		0		0
