schema_version	class_order	case_id	case_label	broad_network	network_display_order	display_network	network_color	slot_rank	slot_status	total_passing_candidate_count	displayed_candidate_count	current_symbol	display_rank	is_core_mito	is_mtdna_gene	extended_reference_member	coverage_fraction	conservative_support_count	aggregate_acat_p	aggregate_acat_q	negative_log10_acat_q	capped_negative_log10_acat_q	display_score	evidence_tier	selected_network_count_within_class	sector_start_degrees	sector_end_degrees	sector_mid_degrees	source_call_key_driver_returns_sha256
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	1	ranked_candidate	5	5	RPS15	1	FALSE	FALSE	FALSE	1	11	1.28512242248867e-06	0.00132000431681337	2.87942464851752	2.87942464851752	0.191961643234501	tier1_recurrent_stable	2	-12.8571428571429	-21.1428571428572	-17	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	2	ranked_candidate	5	5	LAMTOR5	2	FALSE	FALSE	FALSE	0.928571428571429	5	5.1814660661399e-06	0.00413941566839398	2.383060960788	2.383060960788	0.1588707307192	tier1_recurrent_stable	2	-22.1428571428572	-30.4285714285714	-26.2857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	3	ranked_candidate	5	5	RPLP1	3	FALSE	FALSE	FALSE	1	11	7.84938320591808e-06	0.0056437065250551	2.24843557781332	2.24843557781332	0.149895705187555	tier1_recurrent_stable	2	-31.4285714285714	-39.7142857142857	-35.5714285714286	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	4	ranked_candidate	5	5	ATP6V1F	4	FALSE	FALSE	FALSE	1	5	5.48495350851587e-05	0.0262912104841527	1.58018941790712	1.58018941790712	0.105345961193808	tier1_recurrent_stable	1	-40.7142857142857	-49	-44.8571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	5	ranked_candidate	5	5	RPL38	5	FALSE	FALSE	FALSE	0.928571428571429	3	9.13222879612459e-05	0.0410379531525849	1.38681430863469	1.38681430863469	0.0924542872423127	tier1_recurrent_stable	1	-50	-58.2857142857143	-54.1428571428572	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Microglia	4	Microglia	#CC79A7	1	ranked_candidate	1	1	RPL11	1	FALSE	FALSE	FALSE	1	1	8.03982596618271e-06	0.0105830909134852	1.97538747307354	1.97538747307354	0.131692498204903	tier2_localized_or_unstable	4	-64.2857142857143	-72.5714285714286	-68.4285714285714	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Microglia	4	Microglia	#CC79A7	2	unused_display_slot	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-73.5714285714286	-81.8571428571429	-77.7142857142857	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Microglia	4	Microglia	#CC79A7	3	unused_display_slot	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-82.8571428571429	-91.1428571428572	-87	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Microglia	4	Microglia	#CC79A7	4	unused_display_slot	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-92.1428571428572	-100.428571428571	-96.2857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	2	non_mt_driver	non-MT driver	Microglia	4	Microglia	#CC79A7	5	unused_display_slot	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-101.428571428571	-109.714285714286	-105.571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
