schema_version	network	gene	minimum_upstream_depth	minimum_downstream_depth	is_core_mitocarta	in_degree_full	out_degree_full
phase18_rpl11_deep_dive_v1	Astrocytes	RPL27	NA	2	FALSE	2	4
phase18_rpl11_deep_dive_v1	Astrocytes	RPL32	NA	3	FALSE	2	5
phase18_rpl11_deep_dive_v1	Astrocytes	RPL35A	NA	2	FALSE	2	0
phase18_rpl11_deep_dive_v1	Astrocytes	RPLP1	1	NA	FALSE	1	8
phase18_rpl11_deep_dive_v1	Astrocytes	RPN2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	RPS24	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	RPS25	2	NA	FALSE	0	6
phase18_rpl11_deep_dive_v1	Astrocytes	RPS27L	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	RTRAF	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	SELENOP	NA	3	FALSE	2	0
phase18_rpl11_deep_dive_v1	Astrocytes	SF3B6	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	SLIRP	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	SMYD4	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	SRI	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	SRP14	NA	2	FALSE	2	5
phase18_rpl11_deep_dive_v1	Astrocytes	SRP9	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	SSB	NA	2	FALSE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	SYF2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	SYNCRIP	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	TMA7	NA	3	FALSE	2	2
phase18_rpl11_deep_dive_v1	Astrocytes	TMBIM6	NA	3	FALSE	1	15
phase18_rpl11_deep_dive_v1	Astrocytes	TMEM120A	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	TMEM59L	NA	3	FALSE	1	4
phase18_rpl11_deep_dive_v1	Astrocytes	TMEM9	NA	3	FALSE	3	3
phase18_rpl11_deep_dive_v1	Astrocytes	TOMM7	NA	2	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	TPP1	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	TPRG1L	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	TSPAN7	NA	3	FALSE	2	6
phase18_rpl11_deep_dive_v1	Astrocytes	TXNDC12	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	UBA52	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	UBQLN2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	NA	2	TRUE	1	7
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRH	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	VPS4A	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	YIPF2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ZNF432	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ZNF496	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ZNF721	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ZZEF1	NA	3	FALSE	1	2
