feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
33709	ZNF831	ENSG00000124203	phase18_exact	phase18	71	24	TRUE	TRUE	TRUE	0.795073759194256	TRUE		TRUE		-2.18789587938562	-0.444331395065581	0.629936122101932	4573
33741	HRH3	ENSG00000101180	phase18_exact	phase18	70	28	TRUE	TRUE	TRUE	0.88321920481503	TRUE		TRUE		-1.92575362375256	-0.160499044832081	0.819025669208836	4574
33745	LAMA5	ENSG00000130702	phase18_exact	phase18	73	27	TRUE	TRUE	TRUE	0.764952561486657	TRUE		TRUE		-2.12855640111693	-0.299862976304089	0.710768573713441	4575
33747	AL121832.2	ENSG00000273619	phase18_exact	phase18	58	15	TRUE	TRUE	TRUE	1.10036052222846	TRUE		TRUE		-1.72161011688647	-0.137688452709714	1.06733773750781	4576
33763	SLCO4A1	ENSG00000101187	phase18_exact	phase18	63	22	TRUE	TRUE	TRUE	1.64616379783066	TRUE		TRUE		-2.01908903163554	-0.0631545309939553	1.62313446488766	4577
33768	NTSR1	ENSG00000101188	phase18_exact	phase18	19	8	TRUE	TRUE	TRUE	1.60684689520083	TRUE		TRUE		-1.72590348248959	0.0152296593574514	1.15811638972806	4578
33774	COL9A3	ENSG00000092758	phase18_exact	phase18	25	8	TRUE	TRUE	TRUE	1.79723828747094	TRUE		TRUE		-1.99746016422966	0.0641758456237643	1.43079057476622	4579
33785	HAR1A	ENSG00000225978	phase18_exact	phase18	22	8	TRUE	TRUE	TRUE	1.43263286347002	TRUE		TRUE		-1.60163593262404	0.224198662689811	1.28970735844691	4580
33793	NKAIN4	ENSG00000101198	phase18_exact	phase18	40	11	TRUE	TRUE	TRUE	1.29255888685853	TRUE		TRUE		-2.18238478956389	-0.228177574034206	0.886642354642124	4581
33797	CHRNA4	ENSG00000101204	phase18_exact	phase18	50	16	TRUE	TRUE	TRUE	1.5037113021271	TRUE		TRUE		-2.39222385840686	-0.298388035020125	0.987902542447204	4582
33802	EEF1A2	ENSG00000101210	phase18_exact	phase18	78	50	TRUE	TRUE	TRUE	0.878836689833301	TRUE		TRUE		-1.59362113161631	-0.214110562040275	0.894381127094854	4583
33805	PTK6	ENSG00000101213	phase18_exact	phase18	27	9	TRUE	TRUE	TRUE	1.39359043487739	TRUE		TRUE		-1.95736424881617	0.0285424073323381	1.21047035639049	4584
33809	HELZ2	ENSG00000130589	phase18_exact	phase18	70	21	TRUE	TRUE	TRUE	0.833491101409965	TRUE		TRUE		-1.12111179044522	0.0361562936521738	1.16533244793431	4585
33814	TNFRSF6B	ENSG00000243509	phase18_exact	phase18	67	21	TRUE	TRUE	TRUE	1.10560887014951	TRUE		TRUE		-3.87344943309787	-0.834361671300941	0.617850285537166	4586
33822	ZBTB46-AS1	ENSG00000231208	phase18_exact	phase18	57	16	TRUE	TRUE	TRUE	1.22866399473944	TRUE		TRUE		-3.18574539060083	-0.607441159961424	0.766216635265926	4587
33830	SAMD10	ENSG00000130590	phase18_exact	phase18	41	12	TRUE	TRUE	TRUE	1.5790783714796	TRUE		TRUE		-2.26145524344922	-0.357447429982586	0.99211670113813	4588
33832	C20orf204	ENSG00000196421	phase18_exact	phase18	23	8	TRUE	TRUE	TRUE	1.14202434631667	TRUE		TRUE		-1.6104510601495	-0.128923453240621	0.951180260792563	4589
33838	LKAAEAR1	ENSG00000171695	phase18_exact	phase18	23	9	TRUE	TRUE	TRUE	1.43343119162029	TRUE		TRUE		-1.96678268167787	-0.135527837071486	1.17619609260685	4590
33840	MYT1	ENSG00000196132	phase18_exact	phase18	58	17	TRUE	TRUE	TRUE	1.2568472735735	TRUE		TRUE		-2.02669994939334	-0.158491934472225	1.06049543785984	4591
