alias	canonical_symbol	alias_type	canonical_targets	duplicate_alias	feature_present_rds	selected_mapping_rds
ATP5PD	ATP5PD	canonical	1	FALSE	9	0
ATP5PF	ATP5PF	canonical	1	FALSE	9	0
ATP5PO	ATP5PO	canonical	1	FALSE	9	0
ATP5S	DMAC2L	synonym	1	FALSE	9	9
ATP5SL	DMAC2	synonym	1	FALSE	0	0
ATPAF1	ATPAF1	canonical	1	FALSE	9	0
ATPAF2	ATPAF2	canonical	1	FALSE	9	0
ATPCL	ACLY	synonym	1	FALSE	0	0
ATPE	ATP5F1E	synonym	1	FALSE	0	0
ATPI	ATP5IF1	synonym	1	FALSE	0	0
ATPIF1	ATP5IF1	synonym	1	FALSE	0	0
ATPIP	ATP5IF1	synonym	1	FALSE	0	0
ATPM	ATP5F1A	synonym	2	TRUE	0	0
ATPM	ATP5PF	synonym	2	TRUE	0	0
ATPMB	ATP5F1B	synonym	1	FALSE	0	0
ATPO	ATP5PO	synonym	1	FALSE	0	0
ATPQ	ATP5PD	synonym	1	FALSE	0	0
ATPSB	ATP5F1B	synonym	1	FALSE	0	0
ATPSCKMT	ATPSCKMT	canonical	1	FALSE	0	0
ATPW	DMAC2L	synonym	1	FALSE	0	0
ATPase6	MT-ATP6	synonym	1	FALSE	0	0
ATPase8	MT-ATP8	synonym	1	FALSE	0	0
ATQ1	ALDH7A1	synonym	1	FALSE	0	0
ATR	MMAB	synonym	1	FALSE	9	9
ATXN8	TWNK	synonym	1	FALSE	0	0
AUH	AUH	canonical	1	FALSE	9	0
AUNX1	AIFM1	synonym	1	FALSE	0	0
AURKAIP1	AURKAIP1	canonical	1	FALSE	9	0
AUTSX6	TMLHE	synonym	1	FALSE	0	0
AVYV493	ACSF2	synonym	1	FALSE	0	0
AceCS2L	ACSS1	synonym	1	FALSE	0	0
Adrx	PRXL2A	synonym	1	FALSE	0	0
Alpha-MPP	PMPCA	synonym	1	FALSE	0	0
AltMIEF1	MIEF1	synonym	1	FALSE	0	0
ArgRS	RARS2	synonym	1	FALSE	0	0
Atm1p	ABCB7	synonym	1	FALSE	0	0
B-DIOX-II	BCO2	synonym	1	FALSE	0	0
B12	NDUFB3	synonym	1	FALSE	0	0
B13	NDUFA5	synonym	1	FALSE	0	0
B14	NDUFA6	synonym	1	FALSE	0	0
B14.5a	NDUFA7	synonym	1	FALSE	0	0
B14.5b	NDUFC2	synonym	1	FALSE	0	0
B14.7	NDUFA11	synonym	1	FALSE	0	0
