shortlist_rank	priority_tier	gene	context_effect_rank	contrast_id	rds_id	cell_type	sex	apoe_group	yu_stratum	logFC	fdr	cells_ad	cells_nci	donors_ad	donors_nci
14	B	NDUFAF4	11	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Male	e4	M_e4x	0.402977	2.12333e-11	6930	2820	27	10
14	B	NDUFAF4	12	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e4	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e4	M_e4x	0.379352	1.04528e-06	15661	6766	27	10
15	B	PARK7	1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Female	e2	F_e2x	1.12496	0.0421388	105	1104	6	16
15	B	PARK7	2	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e2	M_e2x	-0.958306	2.7627e-07	1249	1339	7	6
15	B	PARK7	3	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-4 RORB CUX2	Male	e2	M_e2x	-0.921759	6.74098e-15	2069	3140	7	6
15	B	PARK7	4	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e4	F_e4x	-0.858464	5.59557e-37	15950	14571	26	11
15	B	PARK7	5	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e2	M_e2x	-0.856745	0.000129133	732	581	7	6
15	B	PARK7	6	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	excitatory_set3	Exc NRGN	Male	e33	M_e33	-0.789959	4.06528e-07	4383	6868	28	52
15	B	PARK7	7	opcs::OPC::AD_vs_NCI__Male__e2	opcs	OPC	Male	e2	M_e2x	-0.777019	0.00377985	1320	1404	7	6
15	B	PARK7	8	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Male__e2	inhibitory	Inh L3-5 SST MAFB	Male	e2	M_e2x	-0.736033	0.000921735	364	292	7	6
15	B	PARK7	9	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e2	inhibitory	Inh CUX2 MSR1	Male	e2	M_e2x	-0.725067	0.0208616	342	322	7	6
15	B	PARK7	10	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	astrocytes	Ast GRM3	Male	e2	M_e2x	-0.709685	5.05821e-06	1411	1186	7	6
15	B	PARK7	11	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	excitatory_set3	Exc RELN CHD7	Female	e4	F_e4x	-0.705985	0.000245763	884	736	24	11
15	B	PARK7	12	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e2	excitatory_set3	Exc L5/6 IT Car3	Female	e2	F_e2x	0.686974	5.44721e-05	174	699	8	16
15	B	PARK7	13	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e2	M_e2x	-0.676176	1.27128e-25	4010	3277	7	6
15	B	PARK7	14	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e2	F_e2x	0.622546	0.000748246	266	899	8	16
15	B	PARK7	15	inhibitory::Inh PVALB SULF1::AD_vs_NCI__Male__e2	inhibitory	Inh PVALB SULF1	Male	e2	M_e2x	-0.602609	0.00313873	331	368	7	6
15	B	PARK7	16	oligodendrocytes::Oli::AD_vs_NCI__Male__e2	oligodendrocytes	Oli	Male	e2	M_e2x	-0.582831	1.33315e-16	9717	5807	7	6
15	B	PARK7	17	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e2	excitatory_set3	Exc L6 THEMIS NFIA	Female	e2	F_e2x	0.536238	1.18006e-12	839	2594	8	16
15	B	PARK7	18	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Female	e2	F_e2x	0.531574	1.6387e-16	1430	4990	8	17
15	B	PARK7	19	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e2	excitatory_set3	Exc L5/6 IT Car3	Male	e2	M_e2x	0.484072	0.0406577	297	298	7	6
15	B	PARK7	20	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Male	e2	M_e2x	-0.441838	1.13557e-10	1690	1874	7	6
15	B	PARK7	21	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	excitatory_set2	Exc L3-4 RORB CUX2	Female	e2	F_e2x	0.424481	2.34865e-18	2049	7715	8	16
