contrast_id	contrast_order	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	structural_status	structurally_available	core_feature_rows	mapped_core_feature_rows	unmapped_core_feature_rows	reference_only_rows	admitted_feature_rows	mapped_unique_background_genes	duplicate_symbol_collapses	background_id	background_size	background_status	schema_version
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	56	excitatory_set3	Exc L5-6 RORB LINC02196	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	913	913	0	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	913	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e4	57	excitatory_set3	Exc L5-6 RORB LINC02196	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	934	934	0	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e4	934	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	58	excitatory_set3	Exc L5-6 RORB LINC02196	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	900	900	0	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	900	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e33	59	excitatory_set3	Exc L5-6 RORB LINC02196	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	886	886	0	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e33	886	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e4	60	excitatory_set3	Exc L5-6 RORB LINC02196	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	886	886	0	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e4	886	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e2	61	excitatory_set3	Exc L5/6 IT Car3	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	959	959	0	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e2	959	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e33	62	excitatory_set3	Exc L5/6 IT Car3	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	940	940	0	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e33	940	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e4	63	excitatory_set3	Exc L5/6 IT Car3	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	954	954	0	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e4	954	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e2	64	excitatory_set3	Exc L5/6 IT Car3	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	944	944	0	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e2	944	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e33	65	excitatory_set3	Exc L5/6 IT Car3	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	907	907	0	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e33	907	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e4	66	excitatory_set3	Exc L5/6 IT Car3	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	935	935	0	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e4	935	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e2	67	excitatory_set3	Exc L5/6 NP	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	892	892	0	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e2	892	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e33	68	excitatory_set3	Exc L5/6 NP	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	855	855	0	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e33	855	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e4	69	excitatory_set3	Exc L5/6 NP	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	884	884	0	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e4	884	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e2	70	excitatory_set3	Exc L5/6 NP	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	864	864	0	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e2	864	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e33	71	excitatory_set3	Exc L5/6 NP	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	855	855	0	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e33	855	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e4	72	excitatory_set3	Exc L5/6 NP	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	845	845	0	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e4	845	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e2	73	excitatory_set3	Exc L6 CT	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	861	861	0	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e2	861	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e33	74	excitatory_set3	Exc L6 CT	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	861	861	0	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e33	861	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e4	75	excitatory_set3	Exc L6 CT	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	886	886	0	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e4	886	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e2	76	excitatory_set3	Exc L6 CT	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	857	857	0	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e2	857	available	fine_deg_pathway_background_manifest_v1
