AGRN	MAP4K2
GARNL3	ARHGEF10L
GARNL3	SLC35D1
GARNL3	RFX5
GARNL3	METTL18
GARNL3	DGKD
GARNL3	COLQ
GARNL3	USP13
GARNL3	RGS12
GARNL3	FKBPL
GARNL3	PPARD
GARNL3	ARMC2
GARNL3	HDDC2
GARNL3	THAP5
GARNL3	CCDC136
GARNL3	AC009275.1
GARNL3	AC138696.2
GARNL3	AP000866.2
GARNL3	PPA1
GARNL3	PARP4
GARNL3	ZIC2
GARNL3	CDC42BPB
GARNL3	IQGAP1
GARNL3	MT1F
GARNL3	TSNAXIP1
GARNL3	ZNF350-AS1
GARNL3	CECR2
RPL12	AC012651.1
RPL12	ZNF70
RPL12	AP000350.5
DPM2	GORASP1
PTGES2	L34079.1
C9orf16	ABHD8
DNM1	CELF3
DNM1	ADD2
DNM1	CAMKV
DNM1	SPTAN1
DNM1	STX1B
DNM1	NRSN2
DNM1	TMEM74B
DNM1	PRR36
COQ4	NOMO2
SLC27A4	RPS6KA4
URM1	AC093673.2
AL359091.1	LSG1
AL359091.1	AC104078.1
AL359091.1	LCP1
AL359091.1	AL162377.1
AL359091.1	UTP4
CERCAM	LINC01618
CERCAM	GSN
CERCAM	AC120114.1
CERCAM	TMEM235
SET	HDGF
SET	SOWAHC
SET	ADO
SET	IRF2BP1
TBC1D13	KIAA0895L
ENDOG	USP5
SPOUT1	FAM189B
SPOUT1	ZNF185
SPOUT1	AC055822.1
SH3GLB2	LTC4S
SH3GLB2	AL022341.2
SH3GLB2	TMEM259
SH3GLB2	SBF1
SH3GLB2	ARSA
IER5L	SCN1B
AL158151.1	LINC00658
LINC01503	CKAP2L
FNBP1	TESK2
FNBP1	PLPP3
FNBP1	PIP5K1A
FNBP1	SH2D6
FNBP1	CNNM4
FNBP1	ITPR1-DT
FNBP1	LMCD1-AS1
FNBP1	SGO1
FNBP1	AC131235.3
FNBP1	ELOVL6
FNBP1	SELENOP
FNBP1	GALNT10
FNBP1	CENPQ
FNBP1	PNRC1
FNBP1	GPR146
FNBP1	PMS2
FNBP1	AC027644.4
FNBP1	AZGP1
FNBP1	TRPV6
FNBP1	ASMTL-AS1
FNBP1	PLS3
FNBP1	RAB39B
FNBP1	PSD3
FNBP1	OTUD6B-AS1
FNBP1	PTK2
FNBP1	EXD3
FNBP1	MTCH2
FNBP1	SIK3
FNBP1	VSIR
FNBP1	LDB3
FNBP1	FGFR2
FNBP1	LPCAT3
FNBP1	DNM1L
FNBP1	AC073896.1
FNBP1	GPN3
FNBP1	RASAL1
FNBP1	AL355338.1
FNBP1	AP4S1
FNBP1	PLEKHG3
FNBP1	PSEN1
FNBP1	GLDN
FNBP1	PDE8A
FNBP1	CTF1
FNBP1	AC137723.1
FNBP1	LDLRAD4
FNBP1	DNASE2
FNBP1	AC008537.1
FNBP1	POLR2F
NCS1	CLCA4
NCS1	SMYD2
AIF1L	LAMC3
AL157938.2	EFCAB14-AS1
AL157938.2	DPYD-AS1
AL157938.2	LINC01931
AL157938.2	NFE2L3
AL157938.2	UTP14A
AL157938.2	AC006064.2
AL157938.2	ELK3
AL157938.2	RASGRP1
AL157938.2	AC073167.1
AL157938.2	SLC16A3
AL157938.2	AP001011.1
AL157938.2	TMC4
AL157938.2	AL031846.2
AL157938.2	AP001439.1
AL157938.3	AL445686.2
AL157938.3	LINC01826
AL157938.3	SPDYE6
AL157938.3	AGAP9
UCK1	WDR24
RAPGEF1	UXS1
RAPGEF1	THAP4
RAPGEF1	AC104117.3
RAPGEF1	ZDHHC5
RAPGEF1	DPP3
RAPGEF1	MYPOP
SPACA9	AC007292.1
GFI1B	AC010255.3
GFI1B	LINC00964
GFI1B	LRRC56
RPL7A	RPS8
RPL7A	EEF1A1
RPL7A	AC007566.1
RPL7A	ABCF2
RPL7A	MYL6
RPL7A	RPS2
RPL7A	AC004448.2
RPL7A	KIF16B
RPL7A	RPL28
RPL7A	RPL3
RXRA	SP110
OLFM1	HOPX
OLFM1	GUCY1A1
OLFM1	PLK2
OLFM1	INA
KCNT1	LINC00951
KCNT1	RIPOR1
KCNT1	KCNQ2
NACC2	ZNF646
QSOX2	WRAP53
ENTR1	ANKRD13D
ENTR1	NTAN1
NALT1	AC114781.2
NALT1	AL589826.2
NALT1	AC002064.1
NALT1	NDUFB2-AS1
NALT1	GLOD5
NALT1	AC079209.1
NALT1	LINC02395
NALT1	C17orf64
AGPAT2	CYTOR
AGPAT2	CCDC120
FAM69B	CTSH
PHPT1	LSM4
EDF1	MRPL20
EDF1	IFI6
EDF1	UROD
EDF1	AL606760.2
EDF1	LAMTOR2
EDF1	ADSS
EDF1	PTRHD1
EDF1	IQCJ-SCHIP1
EDF1	TIMM17B
EDF1	TMEM187
EDF1	EXOSC4
EDF1	GPAA1
EDF1	INCENP
EDF1	COA4
EDF1	C12orf10
EDF1	AXIN1
EDF1	TRAPPC2L
EDF1	INCA1
EDF1	OXLD1
EDF1	SCAND1
EDF1	REX1BD
EDF1	ETFB
LCNL1	ERAP2
LCNL1	TMEM86B
PAXX	DXO
NPDC1	PSCA
DPP7	USF1
GRIN1	CHD5
GRIN1	TNNT2
GRIN1	SLC6A7
GRIN1	FBLL1
GRIN1	SLC29A1
GRIN1	EPHB6
GRIN1	SCRT1
GRIN1	KIFC2
GRIN1	KCNT1
GRIN1	PITPNM1
GRIN1	GOLGA7B
GRIN1	ARHGEF25
GRIN1	CEP170B
GRIN1	JAG2
GRIN1	CASKIN1
GRIN1	CPNE7
GRIN1	CORO6
GRIN1	TBKBP1
GRIN1	SEMA6B
GRIN1	ADAMTS10
GRIN1	LRP3
GRIN1	CACNA1I
GRIN1	MAPK12
GRIN1	MAPK11
SSNA1	GUK1
SSNA1	CORO1B
SSNA1	KNTC1
SSNA1	NUP85
SSNA1	DDX39A
SSNA1	ILVBL
SSNA1	PGLS
SSNA1	LIN7B
SSNA1	RPS19BP1
TUBB4B	TUBB
TUBB4B	VDAC3
TUBB4B	LINC01598
TUBB4B	AC245060.5
EXD3	D2HGDH
EXD3	C16orf95
EXD3	EXOC7
NOXA1	ACCS
NOXA1	AC069503.1
NOXA1	AL162377.3
NSMF	IRAK1
PNPLA7	LMF1-AS1
PNPLA7	TFAP4
CACNA1B	SEMA5B
CACNA1B	WNK2
CACNA1B	CFAP46
CACNA1B	KNDC1
CACNA1B	ASIC2
CACNA1B	ZFR2
CACNA1B	SPTBN4
IFITM3	LGALS3
RNH1	AL353194.1
MIR210HG	AL109615.3
CEND1	KIF17
RPLP2	RGL1
RPLP2	SNRPG
RPLP2	POLR1A
RPLP2	KANSL3
RPLP2	AC026979.2
RPLP2	RPS20
RPLP2	AF117829.1
RPLP2	RPL35
RPLP2	PSAP
RPLP2	SNHG9
RPLP2	MLYCD
RPLP2	ACSF3
RPLP2	EFCAB3
RPLP2	SNHG25
RPLP2	RPL38
RPLP2	ESF1
RPLP2	ZNF180
RPLP2	RPL13A
RPLP2	NDUFA3
RPLP2	AC004076.2
RPLP2	BRD1
PNPLA2	ALYREF
MRPL23	ZNF843
CD81	C1orf122
CD81	ATP6AP1
CD81	UBE2M
KCNQ1	AC011944.1
KCNQ1	DRC3
KCNQ1	RUNDC3A-AS1
KCNQ1OT1	PRELID2
KCNQ1OT1	AL392086.1
NAP1L4	IWS1
NAP1L4	LINC02275
NAP1L4	JAKMIP3
NAP1L4	ARGLU1
NAP1L4	ZNF200
NAP1L4	TMEM98
NAP1L4	NINL
CARS	STK40
CARS	HPCAL1
CARS	SLC1A4
CARS	UGCG
CARS	B4GALT5
OSBPL5	GRIA4
ZNF195	AL031772.1
AC127526.1	AP003716.1
PGAP2	HNRNPAB
PGAP2	PLXNA3
PGAP2	SCAMP5
PGAP2	YBEY
RHOG	VWA1
RHOG	PRAF2
TRIM5	LEMD1
TRIM22	AC008764.8
C11orf42	AL158840.1
C11orf42	AC098851.1
C11orf42	AC006449.3
C11orf42	AC008758.2
AC084337.2	ATP8B2
AC084337.2	BOLA3
AC084337.2	TMEM185B
AC084337.2	AL121944.1
AC084337.2	FAM85B
AC084337.2	AL354920.1
AC084337.2	CDK20
AC084337.2	ZBED5
AC084337.2	SERGEF
AC084337.2	KIF11
AC084337.2	C15orf65
AC084337.2	ADNP-AS1
AC084337.2	ZNF555
DNHD1	TBX19
DNHD1	ODAPH
DNHD1	AP002444.1
DNHD1	AC092745.1
DNHD1	ACBD4
DNHD1	AC068234.2
DNHD1	MFSD11
DNHD1	SCARF2
TPP1	SSRP1
SYT9	FBLIM1
SYT9	IGFLR1
SYT9	AP000345.2
CYB5R2	CDC20
RIC3	AC068631.1
TRIM66	CFAP70
RPL27A	ZBTB21
TMEM9B	C1orf53
TMEM9B	AC104187.1
TMEM9B	FAM174A
TMEM9B	ZNF674-AS1
TMEM9B	C13orf46
TMEM9B	APEX1
TMEM9B	MGAT2
AC132192.2	AC233280.1
AC132192.2	EID2B
AC132192.2	AC016027.1
AC011092.2	ZBTB20-AS5
AC011092.2	AC006042.2
AC011092.2	AC009365.3
AC011092.2	AL591684.1
AC011092.2	AC004034.1
AC011092.2	FBXO46
EIF4G2	PIGA
EIF4G2	NOLC1
EIF4G2	ZNF770
ZBED5	FLVCR1
ZBED5	ZC3H6
ZBED5	CCDC150
ZBED5	ZNF621
ZBED5	SYCP2L
ZBED5	ZSCAN9
ZBED5	HCG27
ZBED5	BZW2
ZBED5	AC072061.1
ZBED5	MTERF1
ZBED5	AL121601.1
ZBED5	INTS6L
ZBED5	NAIF1
ZBED5	CHID1
ZBED5	DNHD1
ZBED5	ZNF248
ZBED5	AC027808.1
ZBED5	AC005703.4
ZBED5	NT5M
ZBED5	Z98752.3
ZBED5	CDH26
ZBED5	SIRT6
ZBED5	AC008758.6
ZBED5	ZNF43
ZBED5	ZNF146
ZBED5	PRR34
ZBED5	AF165147.1
ZBED5	DONSON
DKK3	FAM213A
DKK3	RTN4R
MICAL2	NEK6
PARVA	CCDC68
TEAD1	RRBP1
BTBD10	DHDDS
BTBD10	GORAB
BTBD10	POLR1B
BTBD10	ATXN7
BTBD10	RINT1
BTBD10	TEX10
BTBD10	ZNF239
BTBD10	SP2
SOX6	SUSD5
SOX6	AC091212.1
SOX6	AC005332.5
SOX6	AQP4-AS1
PLEKHA7	LRP5
PLEKHA7	AC134312.5
RPS13	RPS7
RPS13	DUSP28
RPS13	RPS4X
RPS13	RPL36AL
RPS13	AC016205.1
AC124798.1	CCDC189
USH1C	TRIM36
USH1C	RANBP17
USH1C	EGFR
USH1C	ITPR2
SERGEF	SLC9C1
SERGEF	ECT2
SERGEF	MALT1
SERGEF	EBF4
LDHA	CHI3L1
LDHA	IER5L
LDHA	PKM
LDHA	JPT1
PRMT3	FAM173B
PRMT3	KIAA0586
PRMT3	PRSS27
PRMT3	LINC01970
PRMT3	TRMT2A
NELL1	GHR
NELL1	PTCHD1
ANO5	CPNE8
AC104009.1	COX7B2
AC104009.1	AC121154.1
AC104009.1	AC093772.1
AC104009.1	PRLR
AC104009.1	C6
AC104009.1	CCDC69
AC104009.1	AL031963.1
AC104009.1	AC093655.1
AC104009.1	ASMT
AC104009.1	NXNL2
AC104009.1	MORN5
AC104009.1	MYOF
AC104009.1	NEURL1-AS1
AC104009.1	KRT8
AC104009.1	RNF17
AC104009.1	AC099508.2
AC104009.1	SHBG
AC104009.1	NLRP5
AC104009.1	SMC1B
SVIP	AL356488.3
SVIP	NOL7
SVIP	REXO4
SVIP	EVI2A
AC006299.1	CCDC171
AC006299.1	AC090092.1
AC006299.1	MFGE8
ANO3	AFAP1L2
LGR4	JADE3
LGR4	JAG1
BDNF-AS	AC021086.1
BDNF-AS	CYB5D1
IMMP1L	CPS1
IMMP1L	AC093827.5
IMMP1L	GSTCD
IMMP1L	TMEM209
IMMP1L	RAP2C-AS1
IMMP1L	CD163L1
IMMP1L	DPF1
AC131571.1	AL136985.1
KIAA1549L	FLRT2
KIAA1549L	ST8SIA3
NAT10	PDCD11
ABTB2	KCNA2
ABTB2	PLD5
ABTB2	AC005821.1
ABTB2	AC020909.2
ABTB2	MRPL39
SLC1A2	ETNPPL
PRR5L	AJAP1
PRR5L	PAFAH2
PRR5L	FAM20B
PRR5L	TMEM169
PRR5L	RPL37A
PRR5L	FAM47E-STBD1
PRR5L	CKMT2-AS1
PRR5L	ARHGEF37
PRR5L	FARS2
PRR5L	RCAN2
PRR5L	PREP
PRR5L	EPB41L2
PRR5L	DNAAF5
PRR5L	MVB12B
PRR5L	FBXW4
PRR5L	APPL2
PRR5L	AC026367.3
PRR5L	ZNF629
PRR5L	NKD1
PRR5L	ZNF728
PRR5L	LRFN1
C11orf74	MYCN
C11orf74	AL162274.2
LRRC4C	ASTN1
LINC01499	AC097382.2
LINC01499	DNAAF4
LINC01499	LIG3
LINC01499	AC021491.1
AC079917.1	AL137793.2
ALKBH3	TCTN1
PRDM11	AURKC
SYT13	PNMA6A
SYT13	KCNA1
SYT13	DDN
CHST1	ANKRD9
CHST1	GNB5
MAPK8IP1	TMEM201
MAPK8IP1	ADAMTS4
MAPK8IP1	FLNC
MAPK8IP1	EHD1
MAPK8IP1	AC099850.2
MAPK8IP1	SLC44A2
LRP4-AS1	GABPB2
LRP4-AS1	RNASEH2C
LRP4-AS1	C19orf47
LRP4	ATOH8
LRP4	AC004520.1
NR1H3	AP001831.1
SLC39A13	ULK3
PSMC3	FAM213B
PSMC3	CHI3L2
PSMC3	ZNF670-ZNF695
PSMC3	SNX17
PSMC3	GTF3C3
PSMC3	PDE6A
PSMC3	DDX41
PSMC3	NELFE
PSMC3	IDH3G
PSMC3	G6PD
PSMC3	LINC02175
PSMC3	SULT2A1
NDUFS3	FUNDC1
NDUFS3	PDZD11
NDUFS3	NT5C
NDUFS3	SNRPD1
NDUFS3	DNTTIP1
AGBL2	MORN3
PTPRJ	PARP10
PTPRJ	NTRK2
PTPRJ	PALM2
FOLH1	RAB11FIP5
FOLH1	AC025627.1
GLYAT	AC073842.1
AP002347.1	UCHL1-AS1
MS4A13	CTH
MS4A13	AC007389.3
MS4A13	LINC02492
MS4A13	FBXL14
MS4A13	SEL1L2
TMEM132A	SMS
AP003108.2	TAMM41
TMEM258	GAK
TMEM258	TXLNB
TMEM258	DDN-AS1
TMEM258	DOCK9
TMEM258	ADAT1
TMEM258	AC023983.1
TMEM258	GYS1
FADS1	FADS2
FTH1	ILF2
FTH1	ARIH2OS
FTH1	SERPINB9P1
FTH1	GPANK1
FTH1	TSC22D4
FTH1	MAGEH1
FTH1	TCEAL7
FTH1	SEC61B
FTH1	CUEDC2
FTH1	CD9
FTH1	MRPL51
FTH1	RNASE1
FTH1	AL627171.1
FTH1	TUFM
FTH1	ZNF426
B3GAT3	MIIP
B3GAT3	LGI4
HNRNPUL2-BSCL2	AC004223.3
GNG3	NBL1
GNG3	ANXA6
GNG3	F12
GNG3	ABRACL
GNG3	SLC26A4-AS1
GNG3	NOV
GNG3	CISD1
GNG3	CCDC184
GNG3	KRT17
GNG3	RAB3A
GNG3	SYT5
GNG3	YWHAH
GNG3	PVALB
GNG3	PCP4
POLR2G	AP004609.3
TMEM179B	CHCHD5
TMEM179B	MRM2
TMEM179B	SURF1
TMEM179B	FAHD1
TMEM179B	MYDGF
TMEM179B	DUS3L
NXF1	HDHD5
SLC3A2	FAAH2
SLC22A24	MARCOL
SLC22A10	AL139393.1
HRASLS5	AC009118.3
SPINDOC	LINC02128
MACROD1	RABL3
AP000721.2	FLRT1
STIP1	AC008074.1
STIP1	AC133528.1
STIP1	NSUN3
STIP1	EEFSEC
STIP1	P4HA2
STIP1	HSPA1B
STIP1	HEY2
STIP1	PLOD3
STIP1	BAG3
STIP1	PTGES3
STIP1	IFT81
STIP1	HSPH1
STIP1	AHSA1
STIP1	PIGB
STIP1	SENP8
STIP1	ETFA
STIP1	CCDC113
STIP1	JMJD6
STIP1	DNAJB1
STIP1	ZNF473
VEGFB	SFRP1
VEGFB	AP001453.1
VEGFB	MARCH9
FKBP2	AC009237.14
FKBP2	C4orf48
FKBP2	AL451165.2
FKBP2	FKBP1C
FKBP2	MS4A5
FKBP2	AC245033.2
FKBP2	CTU1
GPR137	FLAD1
GPR137	WDR45
CATSPERZ	TIRAP
TRMT112	PFDN2
TRMT112	SF3B6
TRMT112	ATRAID
TRMT112	BRK1
TRMT112	BRIX1
TRMT112	ZNRD1
TRMT112	PFDN6
TRMT112	SEC61G
TRMT112	ZNHIT1
TRMT112	SLC35A2
TRMT112	CFL1
TRMT112	ATP5MG
TRMT112	TMED2
TRMT112	ARF6
TRMT112	CYFIP1
TRMT112	ECI1
TRMT112	NXT1
TRMT112	GPX4
PRDX5	ZNF436
PRDX5	AMIGO1
PRDX5	UBL4A
PRDX5	INAFM2
PRDX5	CCDC32
PRDX5	UBL7
PRDX5	AP2S1
MAP4K2	MIGA2
MAJIN	GALNTL5
CDCA5	SERPINI2
FAU	TUSC2
FAU	CUTA
FAU	AC005076.1
FAU	BAG1
FAU	RPL7A
FAU	TAF10
FAU	DRAP1
FAU	RPLP0
FAU	RPLP1
FAU	ELOB
FAU	TMEM219
FAU	NDUFB7
FAU	TSEN34
CAPN1	TMEM220
NEAT1	LIX1
NEAT1	CHST1
MALAT1	WDR92
MALAT1	CNNM3
MALAT1	TBC1D1
SSSCA1	AC026471.2
RELA	CELSR2
RELA	AL355488.1
RELA	TGFBR2
RELA	AL356599.1
RELA	SPOUT1
RELA	LRRC8A
RELA	TMEM216
RELA	SF3B2
RELA	KLC2
RELA	E2F4
RELA	AC132872.1
RELA	SOX12
RELA	FSD1
RELA	PNPLA6
RELA	ZNF558
RELA	SAMD1
RELA	COLGALT1
RELA	GEMIN7-AS1
RNASEH2C	AC104506.1
CFL1	GLUL
CFL1	SNX17
CFL1	CCDC115
CFL1	IMP4
CFL1	RHOA
CFL1	POLH
CFL1	RAC1
CFL1	PPIA
CFL1	RNF26
CFL1	MLF2
CFL1	MRPL28
CFL1	EIF4A1
CFL1	LGALS3BP
CFL1	EEF2
CFL1	RAD23A
CFL1	RBM42
CFL1	SERTAD3
CCDC85B	ISG15
CCDC85B	TUBA1B
CCDC85B	SNU13
DRAP1	RWDD1
DRAP1	AC006333.2
DRAP1	RAB33A
DRAP1	PSMC4
BANF1	PSMG3
BANF1	MAF1
BANF1	FAM89B
BANF1	CTSF
BANF1	ARL6IP4
BANF1	NUDT16L1
BANF1	POLDIP2
BANF1	EIF1
BANF1	AC092069.1
BANF1	ISOC2
GAL3ST3	RTP5
GAL3ST3	PAQR9
GAL3ST3	IGFBP3
SF3B2	FAM53B-AS1
AP001107.1	AC069029.1
YIF1A	AC068282.1
YIF1A	ESM1
YIF1A	AL512598.1
TMEM151A	ELOVL1
TMEM151A	GJC2
TMEM151A	NACAD
TMEM151A	FAM131B
TMEM151A	LHPP
TMEM151A	PAQR4
TMEM151A	CDC42EP1
B4GAT1	CDK5
CTSF	YPEL3
RBM14-RBM4	FUT8-AS1
RBM14-RBM4	ZIM2-AS1
RBM4	ZNF26
RBM4	ZNF232
SYT12	TRIM54
SYT12	ISLR2
GRK2	COL7A1
POLD4	ARID3B
CARNS1	FAAH
CARNS1	SNRNP27
CARNS1	PCBP4
CARNS1	APBB3
CARNS1	TRIP6
CARNS1	APLN
CARNS1	NRBP2
CARNS1	CERCAM
CARNS1	SH3GLB2
CARNS1	EFS
CARNS1	PYGL
CARNS1	SPESP1
CARNS1	CCDC78
CARNS1	FAAP100
CARNS1	AL034549.1
RPS6KB2-AS1	EARS2
CORO1B	ZNF414
AIP	ALDH9A1
AIP	MRPS2
AIP	AC010422.3
CDK2AP2	CDKN2C
CDK2AP2	EPHX1
CDK2AP2	CCDC121
CDK2AP2	POLD2
CDK2AP2	RNASEH2C
CDK2AP2	LLPH
CDK2AP2	DHRS4L2
CDK2AP2	CHRNB1
CDK2AP2	ZNF524
GSTP1	PRDX1
GSTP1	MRPL9
GSTP1	METTL8
GSTP1	LSM2
GSTP1	SF3B5
GSTP1	TCEAL8
GSTP1	CYC1
GSTP1	FTH1
GSTP1	SERF2
GSTP1	PSMB6
GSTP1	CDKN2D
GSTP1	ECH1
GSTP1	RABAC1
GSTP1	RANBP1
NDUFS8	MTX1
CHKA	SLC19A2
CHKA	RNF135
AP002992.1	PPP4R1-AS1
AP003096.1	Z98884.1
AP003096.1	AC133550.1
ORAOV1	FCGR2A
AP002336.2	AGBL5
AP002336.2	AC022146.2
AP002336.2	ELAVL3
SHANK2	AC007388.1
DHCR7	AP002387.2
DHCR7	PICK1
AP002387.2	AL590637.1
LAMTOR1	SNX17
LAMTOR1	POC1A
LAMTOR1	FNTA
LAMTOR1	TSPAN31
LAMTOR1	FGF14-AS2
LAMTOR1	AC078909.1
LAMTOR1	TXN2
INPPL1	WNT2B
ARAP1	STRIP1
FCHSD2	TUBB2B
FCHSD2	AC022075.1
FAM168A	AL358472.2
PGM2L1	HK1
POLD3	MAATS1
RNF169	CLCN6
RNF169	NOP14
RNF169	COPS5
RNF169	MSS51
RNF169	SPATA5L1
ARRB1	PDIA5
ARRB1	PLXND1
ARRB1	AP000802.1
ARRB1	P3H3
ARRB1	GAS6
ARRB1	TMC8
ARRB1	FCHO1
RPS3	RPL15
RPS3	RPL29
RPS3	RPL24
GDPD5	VSIR
SERPINH1	HSPA6
AP002360.1	AC100793.2
EMSY	MRTO4
EMSY	PAPOLG
EMSY	RPP14
EMSY	PUS7
EMSY	SIRT3
EMSY	PATL1
EMSY	NFRKB
EMSY	DNA2
EMSY	RPAP3
EMSY	GPR135
EMSY	PTPN2
MYO7A	AC022826.2
MYO7A	AC015909.3
PAK1	CCNYL1
PAK1	KEAP1
AP003086.2	AL020995.1
AP003086.2	AL513327.1
AP003086.2	ZMYM4-AS1
AP003086.2	AL138787.2
AP003086.2	KDM4A-AS1
AP003086.2	AC095030.1
AP003086.2	AP4B1-AS1
AP003086.2	NIT1
AP003086.2	IPO9-AS1
AP003086.2	STPG4
AP003086.2	DGUOK-AS1
AP003086.2	AC019130.1
AP003086.2	CADM2-AS2
AP003086.2	FILIP1L
AP003086.2	PRMT9
AP003086.2	PRSS48
AP003086.2	AC096741.1
AP003086.2	AC011405.1
AP003086.2	DOCK2
AP003086.2	EHMT2-AS1
AP003086.2	SCUBE3
AP003086.2	AIMP2
AP003086.2	RPA3
AP003086.2	AC068533.3
AP003086.2	AC002429.2
AP003086.2	AC087071.2
AP003086.2	GSTK1
AP003086.2	WWC3-AS1
AP003086.2	ADGRG2
AP003086.2	AL133480.1
AP003086.2	MUSK
AP003086.2	AP003025.2
AP003086.2	AP003025.1
AP003086.2	IFIT3
AP003086.2	CC2D2B
AP003086.2	AC021054.1
AP003086.2	BCL2L14
AP003086.2	SLCO1B1
AP003086.2	PPFIA2-AS1
AP003086.2	FAM222A-AS1
AP003086.2	AC073592.1
AP003086.2	WASF3-AS1
AP003086.2	AL359706.1
AP003086.2	AL359317.2
AP003086.2	INO80-AS1
AP003086.2	AC012404.1
AP003086.2	AC015853.3
AP003086.2	AC091153.2
AP003086.2	AC135178.3
AP003086.2	AC104984.3
AP003086.2	AC011933.4
AP003086.2	ATP8B1
AP003086.2	UBOX5-AS1
AP003086.2	FO393401.1
AP003086.2	AC011478.1
AP003086.2	EDDM13
AP003086.2	SERPIND1
AP003086.2	IFNGR2
AP003110.1	AL023755.1
AP003110.1	AC009303.2
AP003110.1	ITGB5-AS1
AP003110.1	AL356277.3
AP003110.1	FAM221B
AP003110.1	LMX1B
AP003110.1	PRKG1-AS1
AP003110.1	AL731563.3
AP003110.1	ZNF20
TENM4	MMD2
TENM4	PPEF1
RAB30-AS1	LRRC8C-DT
RAB30-AS1	AC242426.2
RAB30-AS1	UMPS
RAB30-AS1	AC107214.1
RAB30-AS1	SAP30L-AS1
RAB30-AS1	AL035701.1
RAB30-AS1	AEBP1
RAB30-AS1	AC078846.1
RAB30-AS1	C5
RAB30-AS1	AL157400.3
RAB30-AS1	SNHG22
AP001767.3	RSPH14
AP002370.2	SYT2
AP002370.2	AC016909.2
AP002370.2	ZBTB20-AS3
AP002370.2	SPINK5
AP002370.2	AL513188.1
AP002370.2	MDC1-AS1
AP002370.2	AL035634.1
AP002370.2	AC004830.1
AP002370.2	GPR82
AP002370.2	ZNF7
AP002370.2	SNAPC4
AP002370.2	AC011092.2
AP002370.2	AP003086.2
AP002370.2	AP001783.1
AP002370.2	LRRTM3
AP002370.2	LINC02394
AP002370.2	AL359706.1
AP002370.2	AC022613.2
AP002370.2	AC099518.4
AP002370.2	AC092140.1
AP002370.2	LINC01572
AP002370.2	AC009163.1
AP002370.2	AC046158.1
AP002370.2	AC023389.1
AP002370.2	CRLF3
AP002370.2	AC015849.3
AP002370.2	AC015878.1
AP002370.2	KIZ-AS1
AP002370.2	AL133227.1
AP002370.2	AC006547.1
AP001825.1	SLC35F4
EED	ACTR8
CTSC	FGD6
GRM5	MAP3K21
GRM5	SLC4A10
GRM5	CIT
NAALAD2	NOX4
CHORDC1	AC093151.3
CHORDC1	ADCY10
CHORDC1	CFAP36
CHORDC1	PGAP1
CHORDC1	AC019068.1
CHORDC1	HSPA4
CHORDC1	POPDC3
CHORDC1	LINC01277
CHORDC1	ZMIZ2
CHORDC1	AL354793.1
CHORDC1	ZC2HC1A
CHORDC1	WDR31
CHORDC1	NFKB2
CHORDC1	CASP7
CHORDC1	PRIM1
CHORDC1	NHLRC3
CHORDC1	SUGT1
CHORDC1	FANCM
CHORDC1	ERI2
CHORDC1	PLCG2
CHORDC1	ABHD3
CHORDC1	CCDC117
CHORDC1	UBE2G2
FAT3	GRM7
FAT3	SORBS2
FAT3	ZNF112
GPR83	AL035409.1
GPR83	C11orf95
ANKRD49	NSA2
ANKRD49	POLM
ANKRD49	AC008741.2
AP001790.1	STIL
AP001790.1	NPIPB12
AP001790.1	AC135050.1
MAML2	EXTL2
AP003066.1	AL365255.1
AP003066.1	AC007091.1
CNTN5	RAVER2
CNTN5	NEXMIF
CNTN5	PRB2
CNTN5	SYT10
CNTN5	PTPRR
CNTN5	SLC24A4
CNTN5	CNGB1
CNTN5	GRIK1
CFAP300	TMEM238
DYNC2H1	ULK4
DYNC2H1	KIAA0753
PDGFD	AP002989.1
GRIA4	DTX4
MSANTD4	SOCS5
MSANTD4	ALG1L2
MSANTD4	LINC00574
MSANTD4	ZBTB10
MSANTD4	EED
GUCY1A2	MSRB3
GUCY1A2	SLITRK5
ALKBH8	ZNF28
ELMOD1	SLC9A7
ELMOD1	GABBR2
ELMOD1	RFPL1S
C11orf65	CAPN9
C11orf65	RNF32
C11orf65	BDNF-AS
C11orf65	AP001830.1
C11orf65	LPCAT4
C11orf65	AL035071.1
AP002444.1	AP003049.2
POU2AF1	SMIM8
POU2AF1	AP000787.1
BTG4	COLEC10
PPP2R1B	AL033530.1
PPP2R1B	AC093525.7
PPP2R1B	TAF4
CRYAB	APLP1
TIMM8B	POMGNT2
BCO2	AC036176.1
PTS	APH1B
PTS	AC138932.5
PTS	AC055811.2
PTS	GATD3A
AP002884.1	AC091946.1
AP002884.1	PTS
AP002884.1	POU2F2
AP000880.1	C1orf74
TMPRSS5	DRD2
AP000462.3	AC103563.7
AP000462.1	RHD
AP000462.1	AC015971.1
AP000462.1	AC092683.2
AP000462.1	LYG2
AP000462.1	AL023581.1
AP000462.1	AC005154.5
AP000462.1	AC092634.5
AP000462.1	CYP3A5
AP000462.1	LINC00513
AP000462.1	AC058791.1
AP000462.1	AC068389.4
AP000462.1	LRP4-AS1
AP000462.1	AC007622.2
AP000462.1	AC135586.2
AP000462.1	PCDH9-AS1
AP000462.1	AC013640.1
AP000462.1	ZNF793-AS1
AP000462.1	AC011481.1
SIK3	AC017083.1
SIK3	SVEP1
SIK3	DNM1L
CEP164	VASH2
CEP164	EFNB1
AP000892.1	AC007114.2
